---------------------
  #    meV     cm^-1
---------------------
  0    2.2i     17.9i
  1    3.3      26.6
  2    5.1      41.2
  3   10.4      83.7
  4   14.5     117.2
  5   16.1     130.0
  6   42.6     343.3
  7   86.3     696.3
  8  108.3     873.3
  9  110.0     887.1
 10  121.1     977.1
 11  127.6    1029.2
 12  143.5    1157.2
 13  165.0    1330.8
 14  178.5    1439.5
 15  182.9    1475.2
 16  185.2    1494.1
 17  202.4    1632.5
 18  364.8    2942.6
 19  373.9    3015.9
 20  377.9    3048.3
 21  420.8    3394.2
 22  427.0    3443.9
 23  437.6    3529.5
---------------------
Zero-point energy: 2.052 eV
