                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 15:16:57   -39986.477165*       3.9973
BFGSLineSearch:    1[  2] 15:38:38   -39986.592497*       2.2133
BFGSLineSearch:    2[  4] 16:06:23   -39986.887412*       1.7816
BFGSLineSearch:    3[  6] 16:28:51   -39987.156676*       1.0487
BFGSLineSearch:    4[  8] 16:54:16   -39987.293007*       1.1054
BFGSLineSearch:    5[ 10] 17:24:31   -39987.354587*       1.0236
BFGSLineSearch:    6[ 12] 17:50:08   -39987.426156*       0.9032
BFGSLineSearch:    7[ 14] 18:15:20   -39987.506696*       1.1184
BFGSLineSearch:    8[ 16] 18:42:52   -39987.541875*       0.8613
BFGSLineSearch:    9[ 18] 19:06:40   -39987.589427*       0.5125
BFGSLineSearch:   10[ 19] 19:23:06   -39987.666159*       0.7371
BFGSLineSearch:   11[ 20] 19:37:16   -39987.714463*       0.6088
BFGSLineSearch:   12[ 21] 19:45:16   -39987.770186*       0.8224
BFGSLineSearch:   13[ 22] 19:56:26   -39987.816141*       1.2164
BFGSLineSearch:   14[ 24] 20:13:21   -39987.848185*       1.1682
BFGSLineSearch:   15[ 25] 20:22:32   -39987.878742*       1.3843
BFGSLineSearch:   16[ 26] 20:36:37   -39987.919305*       0.7072
BFGSLineSearch:   17[ 27] 20:44:27   -39987.967385*       0.5089
BFGSLineSearch:   18[ 28] 20:54:33   -39987.995514*       0.4475
BFGSLineSearch:   19[ 29] 21:04:45   -39988.017049*       1.5056
BFGSLineSearch:   20[ 31] 21:29:16   -39988.050889*       0.4508
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 10:33:44   -39988.050896*       0.4509
BFGSLineSearch:    1[  2] 11:05:33   -39988.061946*       0.4353
BFGSLineSearch:    2[  3] 11:24:09   -39988.077100*       0.2621
BFGSLineSearch:    3[  4] 11:38:38   -39988.087949*       0.1584
BFGSLineSearch:    4[  5] 11:55:57   -39988.100679*       0.4501
BFGSLineSearch:    5[  6] 12:13:55   -39988.117141*       0.2536
BFGSLineSearch:    6[  7] 12:30:33   -39988.151229*       0.5650
BFGSLineSearch:    7[  9] 13:05:35   -39988.254119*       1.3959
BFGSLineSearch:    8[ 11] 13:49:17   -39988.351002*       2.1861
BFGSLineSearch:    9[ 13] 14:20:18   -39988.499874*       2.1857
BFGSLineSearch:   10[ 14] 14:40:25   -39988.745257*       1.6139
BFGSLineSearch:   11[ 15] 14:56:54   -39989.194965*       1.5009
BFGSLineSearch:   12[ 16] 15:16:02   -39989.360636*       1.3125
BFGSLineSearch:   13[ 17] 15:36:15   -39989.536502*       1.5095
BFGSLineSearch:   14[ 18] 15:56:03   -39989.648802*       0.6980
BFGSLineSearch:   15[ 19] 16:11:33   -39989.707806*       0.9426
BFGSLineSearch:   16[ 21] 16:46:38   -39989.749257*       0.4198
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 18:12:33   -39989.749255*       0.4197
BFGSLineSearch:    1[  2] 18:31:59   -39989.769276*       0.4073
BFGSLineSearch:    2[  3] 18:42:27   -39989.805549*       0.3814
