---------------------
  #    meV     cm^-1
---------------------
  0   38.1i    307.1i
  1   13.8     111.6
  2   18.0     145.0
  3   27.2     219.5
  4   34.6     279.0
  5   42.8     345.3
  6   47.3     381.3
  7   64.5     520.2
  8   72.8     586.9
  9  116.0     935.4
 10  134.0    1080.8
 11  139.6    1125.6
 12  146.4    1181.0
 13  168.3    1357.7
 14  175.6    1416.0
 15  179.8    1449.9
 16  182.9    1475.4
 17  364.8    2942.3
 18  372.3    3003.2
 19  383.9    3096.5
 20  405.1    3267.2
---------------------
Zero-point energy: 1.545 eV
