                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:35:06   -39759.111975*       8.9265
BFGSLineSearch:    1[  1] 19:45:00   -39760.943936*       5.1214
BFGSLineSearch:    2[  2] 19:54:41   -39761.756112*       5.5207
BFGSLineSearch:    3[  3] 20:03:37   -39762.260388*       3.9044
BFGSLineSearch:    4[  5] 20:20:52   -39762.653435*       2.5342
BFGSLineSearch:    5[  7] 20:38:10   -39763.160617*       2.4570
BFGSLineSearch:    6[  9] 20:56:35   -39763.346105*       2.5896
BFGSLineSearch:    7[ 10] 21:07:36   -39763.881886*       3.1389
BFGSLineSearch:    8[ 12] 21:22:41   -39764.192814*       2.9723
BFGSLineSearch:    9[ 14] 21:38:51   -39764.650022*       1.7048
BFGSLineSearch:   10[ 16] 21:53:41   -39764.868072*       1.3006
BFGSLineSearch:   11[ 18] 22:15:46   -39765.079427*       1.6875
BFGSLineSearch:   12[ 19] 22:26:31   -39765.256892*       1.7367
BFGSLineSearch:   13[ 21] 22:43:41   -39765.441420*       0.8978
BFGSLineSearch:   14[ 23] 23:00:25   -39765.582926*       0.7541
BFGSLineSearch:   15[ 25] 23:17:37   -39765.644154*       0.5037
BFGSLineSearch:   16[ 26] 23:25:13   -39765.723157*       0.5195
BFGSLineSearch:   17[ 28] 23:40:37   -39765.778753*       0.5427
BFGSLineSearch:   18[ 30] 23:56:45   -39765.844293*       0.5353
BFGSLineSearch:   19[ 31] 00:05:52   -39765.923914*       0.5304
BFGSLineSearch:   20[ 32] 00:14:24   -39766.015812*       0.4710
BFGSLineSearch:   21[ 34] 00:31:37   -39766.069539*       0.4537
BFGSLineSearch:   22[ 35] 00:41:36   -39766.122847*       0.5891
BFGSLineSearch:   23[ 36] 00:51:06   -39766.158115*       0.4658
BFGSLineSearch:   24[ 38] 01:06:17   -39766.193936*       0.3865
BFGSLineSearch:   25[ 39] 01:13:52   -39766.228044*       0.4530
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 08:46:39   -39759.111976*       8.9264
BFGSLineSearch:    1[  2] 09:08:35   -39761.927775*       5.5333
BFGSLineSearch:    2[  4] 09:29:52   -39763.007172*       6.2557
BFGSLineSearch:    3[  5] 09:45:33   -39764.021468*       4.2144
BFGSLineSearch:    4[  7] 10:20:04   -39764.767801*       2.2795
BFGSLineSearch:    5[  8] 10:40:16   -39765.311272*       1.9843
BFGSLineSearch:    6[ 10] 11:06:44   -39765.853736*       2.0093
BFGSLineSearch:    7[ 12] 11:30:46   -39766.061721*       1.0243
BFGSLineSearch:    8[ 13] 11:48:26   -39766.161923*       0.5457
BFGSLineSearch:    9[ 14] 12:00:19   -39766.221447*       0.4349
BFGSLineSearch:   10[ 16] 12:24:18   -39766.259326*       0.4409
BFGSLineSearch:   11[ 17] 12:35:17   -39766.288464*       0.3523
BFGSLineSearch:   12[ 18] 12:53:05   -39766.304205*       0.3577
BFGSLineSearch:   13[ 19] 13:09:45   -39766.316328*       0.1607
BFGSLineSearch:   14[ 20] 13:21:44   -39766.327431*       0.1726
BFGSLineSearch:   15[ 21] 13:36:20   -39766.339324*       0.1941
BFGSLineSearch:   16[ 22] 13:48:39   -39766.350516*       0.2785
BFGSLineSearch:   17[ 23] 13:58:29   -39766.359699*       0.1381
BFGSLineSearch:   18[ 24] 14:13:12   -39766.368238*       0.1643
BFGSLineSearch:   19[ 25] 14:24:48   -39766.377494*       0.1341
BFGSLineSearch:   20[ 26] 14:35:00   -39766.383157*       0.2308
BFGSLineSearch:   21[ 27] 14:44:25   -39766.387522*       0.1849
BFGSLineSearch:   22[ 28] 14:52:09   -39766.391435*       0.0937
BFGSLineSearch:   23[ 29] 15:00:56   -39766.395269*       0.1040
BFGSLineSearch:   24[ 30] 15:08:08   -39766.396851*       0.0772
BFGSLineSearch:   25[ 31] 15:15:51   -39766.398236*       0.0775
BFGSLineSearch:   26[ 32] 15:27:20   -39766.399361*       0.0385
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 17:39:38   -39761.186172*       6.3168
BFGSLineSearch:    1[  1] 17:48:25   -39761.354930*       6.6833
BFGSLineSearch:    2[  2] 17:58:10   -39762.765477*       4.3673
BFGSLineSearch:    3[  3] 18:06:58   -39763.622632*       5.6335
BFGSLineSearch:    4[  4] 18:14:32   -39764.156207*       2.4272
BFGSLineSearch:    5[  5] 18:22:48   -39764.503234*       2.2947
BFGSLineSearch:    6[  6] 18:33:14   -39764.814241*       2.2901
BFGSLineSearch:    7[  7] 18:40:58   -39765.034395*       0.9883
BFGSLineSearch:    8[  9] 18:57:21   -39765.099414*       0.8016
BFGSLineSearch:    9[ 11] 19:11:44   -39765.124248*       0.2851
BFGSLineSearch:   10[ 12] 19:18:45   -39765.138312*       0.2498
BFGSLineSearch:   11[ 13] 19:24:35   -39765.147014*       0.1996
BFGSLineSearch:   12[ 14] 19:30:44   -39765.156980*       0.1458
BFGSLineSearch:   13[ 15] 19:37:13   -39765.169841*       0.1877
BFGSLineSearch:   14[ 16] 19:44:25   -39765.183742*       0.1637
BFGSLineSearch:   15[ 17] 19:51:43   -39765.194052*       0.6874
BFGSLineSearch:   16[ 18] 19:58:39   -39765.202304*       0.3623
BFGSLineSearch:   17[ 19] 20:05:43   -39765.212612*       0.4154
BFGSLineSearch:   18[ 20] 20:13:18   -39765.225914*       0.1423
BFGSLineSearch:   19[ 21] 20:21:15   -39765.235177*       0.2320
BFGSLineSearch:   20[ 22] 20:32:13   -39765.242901*       0.2360
BFGSLineSearch:   21[ 24] 20:56:30   -39765.251691*       0.1459
BFGSLineSearch:   22[ 25] 21:05:06   -39765.261081*       0.3018
BFGSLineSearch:   23[ 26] 21:12:50   -39765.270968*       0.1670
BFGSLineSearch:   24[ 27] 21:20:47   -39765.291452*       0.2962
BFGSLineSearch:   25[ 28] 21:28:36   -39765.320173*       0.4496
BFGSLineSearch:   26[ 29] 21:35:17   -39765.349524*       0.6381
BFGSLineSearch:   27[ 30] 21:42:47   -39765.396530*       0.5031
BFGSLineSearch:   28[ 31] 21:54:45   -39765.437994*       0.5708
BFGSLineSearch:   29[ 33] 22:10:41   -39765.453686*       0.5645
BFGSLineSearch:   30[ 34] 22:21:02   -39765.482793*       1.0771
BFGSLineSearch:   31[ 35] 22:30:06   -39765.521463*       0.6499
BFGSLineSearch:   32[ 36] 22:39:51   -39765.592980*       1.5513
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 08:25:28   -39765.593097*       1.5520
BFGSLineSearch:    1[  2] 08:52:44   -39765.624892*       0.9516
BFGSLineSearch:    2[  5] 09:37:07   -39765.737595*       1.5428
BFGSLineSearch:    3[  7] 10:04:43   -39765.809783*       1.8459
BFGSLineSearch:    4[  8] 10:28:21   -39765.975211*       1.6154
BFGSLineSearch:    5[ 10] 10:55:03   -39766.052029*       0.6818
BFGSLineSearch:    6[ 11] 11:05:32   -39766.094827*       0.6566
BFGSLineSearch:    7[ 12] 11:15:03   -39766.140426*       0.4873
BFGSLineSearch:    8[ 13] 11:25:19   -39766.170856*       0.5932
BFGSLineSearch:    9[ 14] 11:37:43   -39766.192865*       0.2672
BFGSLineSearch:   10[ 15] 11:46:44   -39766.207103*       0.2017
BFGSLineSearch:   11[ 16] 11:58:05   -39766.217281*       0.1357
BFGSLineSearch:   12[ 18] 12:24:51   -39766.228731*       0.1483
BFGSLineSearch:   13[ 20] 12:48:40   -39766.237366*       0.2688
BFGSLineSearch:   14[ 21] 12:58:10   -39766.240477*       0.2243
BFGSLineSearch:   15[ 22] 13:08:45   -39766.243551*       0.1003
BFGSLineSearch:   16[ 24] 13:31:15   -39766.247639*       0.1842
BFGSLineSearch:   17[ 26] 13:54:08   -39766.252046*       0.2458
BFGSLineSearch:   18[ 27] 14:04:55   -39766.256429*       0.1722
BFGSLineSearch:   19[ 29] 14:28:14   -39766.263751*       0.1839
BFGSLineSearch:   20[ 32] 15:09:30   -39766.270905*       0.2365
BFGSLineSearch:   21[ 33] 15:22:19   -39766.277473*       0.1845
BFGSLineSearch:   22[ 34] 15:31:17   -39766.281457*       0.1569
BFGSLineSearch:   23[ 35] 15:37:15   -39766.284904*       0.1256
BFGSLineSearch:   24[ 36] 15:46:14   -39766.286993*       0.0724
BFGSLineSearch:   25[ 37] 15:53:05   -39766.288394*       0.0671
BFGSLineSearch:   26[ 38] 16:04:57   -39766.289127*       0.0612
BFGSLineSearch:   27[ 39] 16:11:58   -39766.290509*       0.0906
BFGSLineSearch:   28[ 42] 16:43:44   -39766.292691*       0.1564
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 17:12:37   -39766.292693*       0.1575
BFGSLineSearch:    1[  1] 17:19:30   -39766.294315*       0.1224
BFGSLineSearch:    2[  3] 17:36:57   -39766.298339*       0.2065
BFGSLineSearch:    3[  5] 17:51:21   -39766.306023*       0.1459
