---------------------
  #    meV     cm^-1
---------------------
  0    4.9i     39.4i
  1   16.0     128.9
  2   19.6     157.7
  3   27.1     218.7
  4   29.3     236.1
  5   40.4     325.6
  6   44.2     356.5
  7   53.9     434.5
  8   65.3     527.1
  9  108.7     876.4
 10  128.8    1039.2
 11  136.6    1101.8
 12  137.2    1107.0
 13  146.7    1183.1
 14  154.9    1249.7
 15  175.4    1414.5
 16  176.0    1419.2
 17  181.7    1465.7
 18  182.2    1469.7
 19  192.7    1554.5
 20  201.1    1622.1
 21  290.5    2343.2
 22  357.4    2882.2
 23  361.8    2917.7
 24  384.7    3102.9
 25  405.4    3269.4
 26  412.9    3330.5
---------------------
Zero-point energy: 2.215 eV
