---------------------
  #    meV     cm^-1
---------------------
  0   12.4i    100.2i
  1    2.5i     20.4i
  2    7.7      62.3
  3    8.3      67.1
  4   10.9      87.8
  5   11.8      95.1
  6   17.8     143.2
  7   22.1     178.1
  8   32.4     261.1
  9   35.2     284.0
 10   64.3     518.6
 11   66.0     532.0
 12  130.4    1051.9
 13  150.5    1214.1
 14  202.3    1631.4
 15  203.5    1641.3
 16  204.0    1645.6
 17  204.6    1650.1
 18  422.2    3405.3
 19  423.5    3416.1
 20  435.9    3515.4
 21  438.9    3539.9
 22  439.3    3542.9
 23  440.2    3550.3
---------------------
Zero-point energy: 1.986 eV
