                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 12:37:38   -39987.267887*       4.6641
BFGSLineSearch:    1[  2] 13:17:39   -39987.864591*       2.7162
BFGSLineSearch:    2[  4] 13:50:26   -39988.219080*       1.6931
BFGSLineSearch:    3[  6] 14:27:20   -39988.327653*       0.5594
BFGSLineSearch:    4[  8] 14:57:47   -39988.354081*       0.6436
BFGSLineSearch:    5[ 10] 15:30:19   -39988.376086*       0.4364
BFGSLineSearch:    6[ 12] 16:00:50   -39988.387506*       0.6460
BFGSLineSearch:    7[ 14] 16:30:39   -39988.402298*       0.5542
BFGSLineSearch:    8[ 16] 16:58:58   -39988.418253*       0.4244
BFGSLineSearch:    9[ 18] 17:26:30   -39988.432894*       0.5120
BFGSLineSearch:   10[ 19] 17:40:39   -39988.447563*       0.4122
BFGSLineSearch:   11[ 21] 18:09:58   -39988.462841*       0.5329
BFGSLineSearch:   12[ 22] 18:23:55   -39988.487067*       0.4382
BFGSLineSearch:   13[ 24] 18:55:27   -39988.510689*       0.6742
BFGSLineSearch:   14[ 26] 19:21:49   -39988.537063*       0.8226
BFGSLineSearch:   15[ 27] 19:37:07   -39988.570662*       0.7886
BFGSLineSearch:   16[ 28] 19:51:52   -39988.607489*       0.7411
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:29:05   -39988.607488*       0.7408
BFGSLineSearch:    1[  2] 09:57:53   -39988.633832*       0.4000
BFGSLineSearch:    2[  3] 10:11:03   -39988.664796*       0.6254
BFGSLineSearch:    3[  4] 10:25:08   -39988.712102*       0.8810
BFGSLineSearch:    4[  5] 10:40:34   -39988.746433*       0.6015
BFGSLineSearch:    5[  6] 10:53:35   -39988.767862*       0.6297
BFGSLineSearch:    6[  8] 11:18:54   -39988.791918*       0.4801
BFGSLineSearch:    7[ 10] 11:47:40   -39988.816602*       0.5681
BFGSLineSearch:    8[ 12] 12:18:15   -39988.833335*       0.9261
BFGSLineSearch:    9[ 14] 12:47:33   -39988.850766*       0.4326
BFGSLineSearch:   10[ 15] 13:01:39   -39988.871839*       0.4319
BFGSLineSearch:   11[ 16] 13:15:32   -39988.888872*       0.4783
BFGSLineSearch:   12[ 17] 13:28:27   -39988.901665*       0.3015
BFGSLineSearch:   13[ 18] 13:40:37   -39988.909041*       0.3293
BFGSLineSearch:   14[ 19] 13:55:26   -39988.918782*       0.1885
BFGSLineSearch:   15[ 20] 14:08:23   -39988.923140*       0.1626
BFGSLineSearch:   16[ 21] 14:21:29   -39988.926837*       0.1193
BFGSLineSearch:   17[ 22] 14:33:43   -39988.929302*       0.0908
BFGSLineSearch:   18[ 24] 14:56:08   -39988.930713*       0.0595
BFGSLineSearch:   19[ 25] 15:08:02   -39988.932238*       0.0997
BFGSLineSearch:   20[ 26] 15:18:33   -39988.933576*       0.0766
BFGSLineSearch:   21[ 27] 15:28:57   -39988.934777*       0.1051
BFGSLineSearch:   22[ 28] 15:40:30   -39988.936170*       0.1049
BFGSLineSearch:   23[ 29] 15:52:34   -39988.937914*       0.1548
BFGSLineSearch:   24[ 30] 16:03:27   -39988.940511*       0.0916
BFGSLineSearch:   25[ 31] 16:14:51   -39988.944973*       0.0762
BFGSLineSearch:   26[ 32] 16:28:19   -39988.948700*       0.1328
BFGSLineSearch:   27[ 33] 16:40:18   -39988.951968*       0.1227
BFGSLineSearch:   28[ 34] 16:52:34   -39988.954293*       0.0749
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 22:18:36   -39988.954296*       0.0749
BFGSLineSearch:    1[  1] 22:26:56   -39988.955444*       0.0970
BFGSLineSearch:    2[  3] 22:42:39   -39988.958260*       0.0748
BFGSLineSearch:    3[  4] 22:52:07   -39988.960451*       0.0997
BFGSLineSearch:    4[  5] 23:01:08   -39988.962954*       0.0851
BFGSLineSearch:    5[  6] 23:10:28   -39988.964954*       0.0924
BFGSLineSearch:    6[  7] 23:20:29   -39988.966571*       0.0866
BFGSLineSearch:    7[  8] 23:28:08   -39988.968093*       0.0766
BFGSLineSearch:    8[  9] 23:36:30   -39988.969476*       0.0613
BFGSLineSearch:    9[ 10] 23:46:09   -39988.970999*       0.0891
BFGSLineSearch:   10[ 12] 00:05:33   -39988.971569*       0.0762
BFGSLineSearch:   11[ 14] 00:25:04   -39988.972131*       0.0996
BFGSLineSearch:   12[ 16] 00:41:53   -39988.972677*       0.1022
BFGSLineSearch:   13[ 17] 00:51:17   -39988.973651*       0.0906
BFGSLineSearch:   14[ 18] 00:58:44   -39988.974342*       0.0423
