                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 12:43:54   -39970.190032*       3.3639
BFGSLineSearch:    1[  2] 13:16:12   -39970.699539*       2.5985
BFGSLineSearch:    2[  4] 13:47:16   -39970.966501*       3.9019
BFGSLineSearch:    3[  6] 14:33:18   -39971.330704*       3.3756
BFGSLineSearch:    4[  8] 15:04:54   -39971.559730*       1.7775
BFGSLineSearch:    5[ 10] 15:40:02   -39971.678066*       1.3408
BFGSLineSearch:    6[ 12] 16:07:52   -39971.771989*       0.8928
BFGSLineSearch:    7[ 13] 16:20:38   -39971.840818*       1.0660
BFGSLineSearch:    8[ 15] 16:47:08   -39971.889389*       0.5941
BFGSLineSearch:    9[ 17] 17:15:03   -39971.917449*       0.2237
BFGSLineSearch:   10[ 19] 17:42:24   -39971.926071*       0.2764
BFGSLineSearch:   11[ 21] 18:09:26   -39971.933830*       0.1663
BFGSLineSearch:   12[ 23] 18:34:15   -39971.938666*       0.1559
BFGSLineSearch:   13[ 25] 18:53:08   -39971.940975*       0.1428
BFGSLineSearch:   14[ 26] 19:07:37   -39971.943275*       0.1506
BFGSLineSearch:   15[ 28] 19:33:16   -39971.946346*       0.0964
BFGSLineSearch:   16[ 29] 19:42:20   -39971.949178*       0.1068
BFGSLineSearch:   17[ 30] 19:52:31   -39971.953049*       0.2184
BFGSLineSearch:   18[ 31] 20:03:34   -39971.958339*       0.1350
BFGSLineSearch:   19[ 32] 20:17:08   -39971.965551*       0.2736
BFGSLineSearch:   20[ 34] 20:42:37   -39971.971745*       0.2890
BFGSLineSearch:   21[ 35] 20:55:19   -39971.979221*       0.2101
BFGSLineSearch:   22[ 37] 21:23:04   -39971.985397*       0.1630
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:33:01   -39971.985401*       0.1627
BFGSLineSearch:    1[  2] 09:53:57   -39971.988352*       0.1516
BFGSLineSearch:    2[  3] 10:06:29   -39971.994563*       0.2255
BFGSLineSearch:    3[  5] 10:32:14   -39971.998515*       0.1486
BFGSLineSearch:    4[  7] 10:57:04   -39972.001783*       0.1916
BFGSLineSearch:    5[  8] 11:11:21   -39972.006380*       0.1893
BFGSLineSearch:    6[  9] 11:22:32   -39972.010044*       0.1264
BFGSLineSearch:    7[ 10] 11:40:32   -39972.012725*       0.1808
BFGSLineSearch:    8[ 11] 11:56:50   -39972.015015*       0.2651
BFGSLineSearch:    9[ 13] 12:20:28   -39972.017263*       0.1266
BFGSLineSearch:   10[ 14] 12:32:58   -39972.019036*       0.0664
BFGSLineSearch:   11[ 15] 12:47:06   -39972.020771*       0.0917
BFGSLineSearch:   12[ 16] 13:01:56   -39972.022254*       0.0946
BFGSLineSearch:   13[ 17] 13:13:14   -39972.023516*       0.1667
BFGSLineSearch:   14[ 19] 13:35:29   -39972.024678*       0.0890
BFGSLineSearch:   15[ 20] 13:50:21   -39972.025752*       0.1061
BFGSLineSearch:   16[ 21] 13:58:26   -39972.026844*       0.1003
BFGSLineSearch:   17[ 24] 14:27:38   -39972.028554*       0.1050
BFGSLineSearch:   18[ 25] 14:37:55   -39972.030232*       0.1495
BFGSLineSearch:   19[ 27] 15:04:59   -39972.031900*       0.1818
BFGSLineSearch:   20[ 28] 15:16:28   -39972.034146*       0.0806
BFGSLineSearch:   21[ 29] 15:29:00   -39972.036755*       0.0787
BFGSLineSearch:   22[ 30] 15:41:31   -39972.040228*       0.1002
BFGSLineSearch:   23[ 31] 15:52:31   -39972.042411*       0.1560
BFGSLineSearch:   24[ 32] 16:02:20   -39972.044350*       0.2085
BFGSLineSearch:   25[ 33] 16:12:59   -39972.046019*       0.1021
BFGSLineSearch:   26[ 34] 16:21:09   -39972.047361*       0.0772
BFGSLineSearch:   27[ 35] 16:32:42   -39972.049297*       0.0716
BFGSLineSearch:   28[ 36] 16:41:22   -39972.050211*       0.0892
BFGSLineSearch:   29[ 37] 16:49:32   -39972.050853*       0.0392
