                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 22:39:59   -39744.571672*       5.8517
BFGSLineSearch:    1[  2] 23:00:47   -39745.206189*       4.0341
BFGSLineSearch:    2[  4] 23:21:35   -39745.540837*       2.4301
BFGSLineSearch:    3[  5] 23:34:26   -39746.678489*       5.1900
BFGSLineSearch:    4[  7] 23:58:27   -39747.022624*       4.3628
BFGSLineSearch:    5[  8] 00:10:00   -39747.871516*       4.7272
BFGSLineSearch:    6[ 10] 00:33:36   -39749.385866*       2.8600
BFGSLineSearch:    7[ 12] 00:59:21   -39749.954603*       1.9258
BFGSLineSearch:    8[ 14] 01:25:11   -39750.307010*       1.7786
BFGSLineSearch:    9[ 16] 01:49:53   -39750.505364*       0.9638
BFGSLineSearch:   10[ 18] 02:09:34   -39750.552863*       1.0632
BFGSLineSearch:   11[ 20] 02:30:28   -39750.601371*       0.7505
BFGSLineSearch:   12[ 22] 02:50:20   -39750.624016*       0.4950
BFGSLineSearch:   13[ 23] 02:59:50   -39750.636375*       0.3246
BFGSLineSearch:   14[ 25] 03:17:29   -39750.642455*       0.2280
BFGSLineSearch:   15[ 27] 03:35:28   -39750.649192*       0.2012
BFGSLineSearch:   16[ 29] 03:53:54   -39750.657858*       0.2035
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:10:03   -39750.657843*       0.2037
BFGSLineSearch:    1[  2] 09:30:43   -39750.661746*       0.1768
BFGSLineSearch:    2[  3] 09:40:16   -39750.671722*       0.1426
BFGSLineSearch:    3[  5] 10:04:31   -39750.682926*       0.1855
BFGSLineSearch:    4[  7] 10:27:15   -39750.688736*       0.1711
BFGSLineSearch:    5[  8] 10:39:10   -39750.693831*       0.1197
BFGSLineSearch:    6[ 10] 10:54:38   -39750.696312*       0.1386
BFGSLineSearch:    7[ 11] 11:03:23   -39750.700348*       0.1193
BFGSLineSearch:    8[ 12] 11:13:14   -39750.703350*       0.2024
BFGSLineSearch:    9[ 13] 11:21:07   -39750.707722*       0.0962
BFGSLineSearch:   10[ 14] 11:29:46   -39750.710845*       0.1111
BFGSLineSearch:   11[ 15] 11:39:51   -39750.716017*       0.1610
BFGSLineSearch:   12[ 16] 11:48:53   -39750.722341*       0.1120
BFGSLineSearch:   13[ 17] 11:58:03   -39750.727655*       0.1092
BFGSLineSearch:   14[ 18] 12:06:54   -39750.733031*       0.1445
BFGSLineSearch:   15[ 19] 12:17:10   -39750.738576*       0.1078
BFGSLineSearch:   16[ 21] 12:35:41   -39750.745307*       0.1795
BFGSLineSearch:   17[ 23] 12:56:19   -39750.752082*       0.1928
BFGSLineSearch:   18[ 24] 13:04:44   -39750.759918*       0.1890
BFGSLineSearch:   19[ 25] 13:14:35   -39750.768285*       0.1431
BFGSLineSearch:   20[ 27] 13:33:53   -39750.773995*       0.1817
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:16:27   -39750.773986*       0.1809
BFGSLineSearch:    1[  2] 16:34:06   -39750.776962*       0.0924
BFGSLineSearch:    2[  3] 16:43:56   -39750.785454*       0.3682
BFGSLineSearch:    3[  4] 16:53:32   -39750.793738*       0.2022
BFGSLineSearch:    4[  5] 17:07:16   -39750.800566*       0.2663
BFGSLineSearch:    5[  6] 17:17:54   -39750.806573*       0.2563
BFGSLineSearch:    6[  7] 17:26:56   -39750.812551*       0.1312
BFGSLineSearch:    7[  9] 17:47:55   -39750.816300*       0.2159
BFGSLineSearch:    8[ 11] 18:05:06   -39750.819835*       0.1864
BFGSLineSearch:    9[ 12] 18:14:19   -39750.823157*       0.0832
BFGSLineSearch:   10[ 13] 18:23:16   -39750.825302*       0.0876
BFGSLineSearch:   11[ 14] 18:31:59   -39750.826992*       0.0938
BFGSLineSearch:   12[ 15] 18:40:29   -39750.828155*       0.0872
BFGSLineSearch:   13[ 16] 18:47:42   -39750.829291*       0.0781
BFGSLineSearch:   14[ 17] 18:57:25   -39750.830852*       0.0759
BFGSLineSearch:   15[ 18] 19:07:21   -39750.832098*       0.0910
BFGSLineSearch:   16[ 19] 19:15:41   -39750.833274*       0.0862
BFGSLineSearch:   17[ 20] 19:24:02   -39750.834345*       0.1044
BFGSLineSearch:   18[ 21] 19:32:33   -39750.835798*       0.0468
