                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 21:25:08   -40020.363623*       4.9757
BFGSLineSearch:    1[  2] 21:55:07   -40021.047216*       3.2695
BFGSLineSearch:    2[  3] 22:08:43   -40021.699512*       4.0715
BFGSLineSearch:    3[  5] 22:31:12   -40022.124600*       3.6226
BFGSLineSearch:    4[  7] 22:54:37   -40022.347346*       3.4532
BFGSLineSearch:    5[  9] 23:16:39   -40022.592753*       1.9275
BFGSLineSearch:    6[ 11] 23:42:38   -40022.696325*       1.7404
BFGSLineSearch:    7[ 13] 00:06:22   -40022.777077*       1.6076
BFGSLineSearch:    8[ 15] 00:28:01   -40022.910648*       2.3013
BFGSLineSearch:    9[ 17] 00:49:44   -40023.054771*       1.4759
BFGSLineSearch:   10[ 19] 01:12:02   -40023.133736*       0.6476
BFGSLineSearch:   11[ 21] 01:34:03   -40023.168549*       0.4098
BFGSLineSearch:   12[ 23] 01:54:31   -40023.192898*       0.4848
BFGSLineSearch:   13[ 24] 02:05:14   -40023.225095*       0.5438
BFGSLineSearch:   14[ 25] 02:18:50   -40023.290644*       0.6851
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:09:37   -40023.290641*       0.6842
BFGSLineSearch:    1[  2] 09:33:32   -40023.337924*       0.4514
BFGSLineSearch:    2[  3] 09:45:25   -40023.412956*       0.5628
BFGSLineSearch:    3[  4] 09:59:30   -40023.545750*       0.9972
BFGSLineSearch:    4[  5] 10:12:53   -40023.628277*       1.0959
BFGSLineSearch:    5[  7] 10:33:38   -40023.695250*       0.7133
BFGSLineSearch:    6[  9] 10:53:45   -40023.734488*       0.4542
BFGSLineSearch:    7[ 10] 11:06:03   -40023.761386*       0.4044
BFGSLineSearch:    8[ 11] 11:17:03   -40023.778177*       0.3834
BFGSLineSearch:    9[ 12] 11:28:12   -40023.790300*       0.3322
BFGSLineSearch:   10[ 14] 11:43:32   -40023.798098*       0.2002
BFGSLineSearch:   11[ 16] 12:01:26   -40023.804137*       0.1521
BFGSLineSearch:   12[ 17] 12:14:32   -40023.813627*       0.2412
BFGSLineSearch:   13[ 18] 12:24:09   -40023.822975*       0.7030
BFGSLineSearch:   14[ 19] 12:36:16   -40023.839028*       0.3103
BFGSLineSearch:   15[ 21] 12:58:13   -40023.850311*       0.2127
BFGSLineSearch:   16[ 22] 13:09:47   -40023.860604*       0.3008
BFGSLineSearch:   17[ 23] 13:20:00   -40023.872138*       0.2598
BFGSLineSearch:   18[ 24] 13:28:58   -40023.878694*       0.2720
BFGSLineSearch:   19[ 25] 13:37:18   -40023.885554*       0.2402
BFGSLineSearch:   20[ 26] 13:48:46   -40023.892269*       0.2403
BFGSLineSearch:   21[ 27] 13:58:53   -40023.897288*       0.2258
BFGSLineSearch:   22[ 28] 14:08:01   -40023.904517*       0.1968
BFGSLineSearch:   23[ 29] 14:17:04   -40023.910860*       0.1448
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:17:15   -40023.910815*       0.1457
BFGSLineSearch:    1[  1] 16:25:34   -40023.914602*       0.1660
BFGSLineSearch:    2[  2] 16:35:50   -40023.920756*       0.1960
BFGSLineSearch:    3[  4] 16:58:40   -40023.926272*       0.3902
BFGSLineSearch:    4[  5] 17:07:48   -40023.930628*       0.2179
BFGSLineSearch:    5[  6] 17:17:20   -40023.934434*       0.1478
BFGSLineSearch:    6[  7] 17:30:46   -40023.938173*       0.1386
BFGSLineSearch:    7[  8] 17:41:19   -40023.942173*       0.1864
BFGSLineSearch:    8[  9] 17:51:53   -40023.946761*       0.1356
BFGSLineSearch:    9[ 10] 18:01:53   -40023.951325*       0.1079
BFGSLineSearch:   10[ 11] 18:13:47   -40023.955184*       0.2766
BFGSLineSearch:   11[ 12] 18:22:35   -40023.959890*       0.1698
BFGSLineSearch:   12[ 13] 18:33:16   -40023.964355*       0.0783
BFGSLineSearch:   13[ 14] 18:43:26   -40023.966252*       0.1243
BFGSLineSearch:   14[ 15] 18:51:19   -40023.968828*       0.0880
BFGSLineSearch:   15[ 16] 19:03:35   -40023.971205*       0.2304
BFGSLineSearch:   16[ 18] 19:24:21   -40023.972363*       0.1218
BFGSLineSearch:   17[ 19] 19:33:29   -40023.973718*       0.2188
BFGSLineSearch:   18[ 20] 19:41:46   -40023.975540*       0.0497
