---------------------
  #    meV     cm^-1
---------------------
  0   16.3i    131.1i
  1    2.5i     20.3i
  2    5.9      47.5
  3    8.0      64.8
  4    9.2      74.5
  5   13.4     107.7
  6   20.2     163.1
  7   23.7     191.4
  8   37.8     304.8
  9   41.3     333.2
 10   49.1     396.2
 11   56.5     455.9
 12  128.6    1036.9
 13  133.4    1076.3
 14  146.3    1180.0
 15  182.8    1474.0
 16  204.6    1649.9
 17  205.4    1656.4
 18  208.4    1681.2
 19  361.3    2914.4
 20  370.6    2989.4
 21  423.3    3414.2
 22  439.0    3540.9
 23  439.2    3542.4
---------------------
Zero-point energy: 1.754 eV
