                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:45:26   -40020.619819*       1.9509
BFGSLineSearch:    1[  2] 17:02:51   -40020.748369*       1.0342
BFGSLineSearch:    2[  4] 17:17:39   -40020.811894*       0.8499
BFGSLineSearch:    3[  6] 17:37:48   -40020.848671*       0.4336
BFGSLineSearch:    4[  8] 17:54:23   -40020.863420*       0.3622
BFGSLineSearch:    5[ 10] 18:09:33   -40020.873734*       0.3412
BFGSLineSearch:    6[ 12] 18:24:18   -40020.880956*       0.3021
BFGSLineSearch:    7[ 14] 18:38:44   -40020.888352*       0.3893
BFGSLineSearch:    8[ 16] 18:59:02   -40020.896708*       0.2264
BFGSLineSearch:    9[ 18] 19:13:31   -40020.901320*       0.3164
BFGSLineSearch:   10[ 20] 19:31:02   -40020.906709*       0.2454
BFGSLineSearch:   11[ 22] 19:45:13   -40020.909964*       0.1479
BFGSLineSearch:   12[ 23] 19:51:46   -40020.914760*       0.1186
BFGSLineSearch:   13[ 24] 19:58:23   -40020.918370*       0.1671
BFGSLineSearch:   14[ 25] 20:04:45   -40020.923162*       0.2030
BFGSLineSearch:   15[ 27] 20:15:21   -40020.928258*       0.1703
BFGSLineSearch:   16[ 28] 20:22:13   -40020.933839*       0.1178
BFGSLineSearch:   17[ 29] 20:28:44   -40020.940034*       0.1512
BFGSLineSearch:   18[ 30] 20:36:02   -40020.945636*       0.2728
BFGSLineSearch:   19[ 31] 20:43:51   -40020.953703*       0.3100
BFGSLineSearch:   20[ 32] 20:50:31   -40020.964150*       0.1540
BFGSLineSearch:   21[ 33] 20:57:29   -40020.971061*       0.1827
BFGSLineSearch:   22[ 34] 21:04:22   -40020.977625*       0.1160
BFGSLineSearch:   23[ 35] 21:11:54   -40020.983283*       0.1520
BFGSLineSearch:   24[ 37] 21:24:34   -40020.988187*       0.1338
BFGSLineSearch:   25[ 39] 21:37:43   -40020.992612*       0.2163
BFGSLineSearch:   26[ 40] 21:43:55   -40020.997957*       0.2349
BFGSLineSearch:   27[ 41] 21:49:43   -40021.001181*       0.2032
BFGSLineSearch:   28[ 42] 21:56:40   -40021.004109*       0.2531
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:30:35   -40021.004182*       0.2529
BFGSLineSearch:    1[  2] 09:54:14   -40021.006019*       0.0986
BFGSLineSearch:    2[  3] 10:05:04   -40021.007844*       0.1859
BFGSLineSearch:    3[  4] 10:17:55   -40021.010809*       0.0814
BFGSLineSearch:    4[  5] 10:30:22   -40021.013732*       0.3228
BFGSLineSearch:    5[  6] 10:42:30   -40021.016619*       0.2033
BFGSLineSearch:    6[  7] 10:52:43   -40021.019022*       0.1665
BFGSLineSearch:    7[  8] 11:07:09   -40021.020863*       0.1231
BFGSLineSearch:    8[ 10] 11:29:09   -40021.021643*       0.1008
BFGSLineSearch:    9[ 12] 11:49:17   -40021.022340*       0.0435
