                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:46:21   -40004.231429*       3.1198
BFGSLineSearch:    1[  2] 17:10:14   -40004.523347*       1.9016
BFGSLineSearch:    2[  4] 17:26:58   -40004.756164*       2.0322
BFGSLineSearch:    3[  6] 17:45:02   -40004.858070*       1.3843
BFGSLineSearch:    4[  8] 18:00:20   -40004.914609*       1.1619
BFGSLineSearch:    5[ 10] 18:21:42   -40004.977699*       0.7187
BFGSLineSearch:    6[ 12] 18:40:47   -40005.030130*       1.1102
BFGSLineSearch:    7[ 14] 18:57:18   -40005.092049*       1.1118
BFGSLineSearch:    8[ 16] 19:17:28   -40005.169824*       0.7677
BFGSLineSearch:    9[ 18] 19:32:04   -40005.208243*       1.0723
BFGSLineSearch:   10[ 20] 19:48:37   -40005.240259*       0.7508
BFGSLineSearch:   11[ 22] 20:03:42   -40005.259075*       0.3326
BFGSLineSearch:   12[ 23] 20:10:19   -40005.279532*       0.5605
BFGSLineSearch:   13[ 25] 20:25:19   -40005.300999*       0.5030
BFGSLineSearch:   14[ 26] 20:32:28   -40005.322875*       0.8785
BFGSLineSearch:   15[ 28] 20:47:22   -40005.344456*       0.4451
BFGSLineSearch:   16[ 30] 21:01:16   -40005.361140*       0.2223
BFGSLineSearch:   17[ 31] 21:09:21   -40005.374614*       0.5817
BFGSLineSearch:   18[ 32] 21:16:18   -40005.388339*       0.2656
BFGSLineSearch:   19[ 34] 21:29:11   -40005.399795*       0.3881
BFGSLineSearch:   20[ 35] 21:37:02   -40005.418449*       1.0903
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 12:16:01   -40005.418462*       1.0880
BFGSLineSearch:    1[  2] 12:44:11   -40005.433851*       0.3452
BFGSLineSearch:    2[  3] 13:01:48   -40005.459655*       0.8985
BFGSLineSearch:    3[  5] 13:38:12   -40005.500569*       1.1594
BFGSLineSearch:    4[  6] 13:59:43   -40005.571626*       0.9920
BFGSLineSearch:    5[  8] 14:32:47   -40005.595387*       0.3415
BFGSLineSearch:    6[ 10] 15:00:42   -40005.608947*       0.2889
BFGSLineSearch:    7[ 11] 15:13:52   -40005.621190*       0.1706
BFGSLineSearch:    8[ 12] 15:27:01   -40005.628825*       0.2294
BFGSLineSearch:    9[ 13] 15:41:01   -40005.635179*       0.1323
BFGSLineSearch:   10[ 14] 15:55:57   -40005.638817*       0.1277
BFGSLineSearch:   11[ 15] 16:09:25   -40005.641407*       0.0890
BFGSLineSearch:   12[ 16] 16:21:48   -40005.643566*       0.2122
BFGSLineSearch:   13[ 17] 16:33:39   -40005.645871*       0.1146
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:44:15   -40005.641410*       0.0882
BFGSLineSearch:   14[ 18] 16:47:11   -40005.648429*       0.1497
BFGSLineSearch:    1[  1] 16:54:34   -40005.645885*       0.1100
BFGSLineSearch:   15[ 19] 16:57:46   -40005.650387*       0.1535
BFGSLineSearch:    2[  2] 17:02:04   -40005.647322*       0.2275
BFGSLineSearch:    3[  3] 17:11:19   -40005.649721*       0.2082
BFGSLineSearch:   16[ 21] 17:21:52   -40005.653856*       0.1251
BFGSLineSearch:    5[  5] 17:30:57   -40005.655220*       0.0952
BFGSLineSearch:   17[ 22] 17:33:41   -40005.657203*       0.1267
BFGSLineSearch:    6[  6] 17:40:51   -40005.659787*       0.1634
BFGSLineSearch:   18[ 23] 17:47:26   -40005.662628*       0.3264
BFGSLineSearch:   19[ 24] 17:59:39   -40005.668669*       0.1786
BFGSLineSearch:    7[  8] 18:03:55   -40005.668827*       0.2040
BFGSLineSearch:   20[ 25] 18:11:48   -40005.674522*       0.3703
BFGSLineSearch:    8[  9] 18:13:01   -40005.673841*       0.3718
BFGSLineSearch:   21[ 26] 18:23:19   -40005.678531*       0.1811
BFGSLineSearch:   22[ 27] 18:35:17   -40005.685113*       0.2187
BFGSLineSearch:   10[ 13] 18:52:56   -40005.683865*       0.2840
BFGSLineSearch:   11[ 14] 19:05:22   -40005.690913*       0.2736
BFGSLineSearch:   12[ 15] 19:15:00   -40005.697242*       0.3013
BFGSLineSearch:   13[ 17] 19:36:05   -40005.703556*       0.2279
BFGSLineSearch:   14[ 18] 19:46:22   -40005.710537*       0.1214
BFGSLineSearch:   15[ 19] 19:56:23   -40005.715244*       0.1537
BFGSLineSearch:   16[ 20] 20:05:33   -40005.717633*       0.1396
BFGSLineSearch:   17[ 21] 20:15:09   -40005.719701*       0.1456
BFGSLineSearch:   18[ 22] 20:23:06   -40005.721243*       0.1581
BFGSLineSearch:   19[ 23] 20:30:09   -40005.722954*       0.0824
BFGSLineSearch:   20[ 24] 20:38:56   -40005.724535*       0.0663
BFGSLineSearch:   21[ 25] 20:47:49   -40005.725745*       0.0576
BFGSLineSearch:   22[ 26] 20:56:36   -40005.726777*       0.0310
