                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 21:20:28   -39698.509063*       5.0136
BFGSLineSearch:    1[  2] 21:49:49   -39698.932378*       1.7266
BFGSLineSearch:    2[  4] 22:23:00   -39699.222691*       1.4605
BFGSLineSearch:    3[  6] 22:47:38   -39699.420374*       0.7617
BFGSLineSearch:    4[  8] 23:09:47   -39699.487383*       0.9632
BFGSLineSearch:    5[ 10] 23:32:17   -39699.532455*       0.6083
BFGSLineSearch:    6[ 12] 23:53:26   -39699.560666*       0.4466
BFGSLineSearch:    7[ 14] 00:16:08   -39699.588485*       0.4976
BFGSLineSearch:    8[ 15] 00:26:18   -39699.639367*       0.7768
BFGSLineSearch:    9[ 16] 00:37:12   -39699.685218*       0.8262
BFGSLineSearch:   10[ 17] 00:48:30   -39699.734255*       0.8267
BFGSLineSearch:   11[ 18] 01:00:56   -39699.816766*       0.7644
BFGSLineSearch:   12[ 19] 01:16:54   -39699.900505*       1.1695
BFGSLineSearch:   13[ 20] 01:29:15   -39700.041065*       1.4475
BFGSLineSearch:   14[ 22] 01:55:24   -39700.116460*       1.1047
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:00:56   -39700.116449*       1.1052
BFGSLineSearch:    1[  2] 09:28:02   -39700.146987*       0.8164
BFGSLineSearch:    2[  3] 09:42:15   -39700.217065*       0.2956
BFGSLineSearch:    3[  5] 10:00:30   -39700.244802*       0.3498
BFGSLineSearch:    4[  7] 10:20:38   -39700.261251*       0.2927
BFGSLineSearch:    5[  9] 10:43:46   -39700.272004*       0.1902
BFGSLineSearch:    6[ 10] 10:52:26   -39700.284450*       0.1307
BFGSLineSearch:    7[ 12] 11:10:09   -39700.290338*       0.2200
BFGSLineSearch:    8[ 13] 11:21:44   -39700.295874*       0.2695
BFGSLineSearch:    9[ 14] 11:31:36   -39700.303320*       0.1764
BFGSLineSearch:   10[ 15] 11:40:34   -39700.310568*       0.2162
BFGSLineSearch:   11[ 16] 11:49:14   -39700.315190*       0.2105
BFGSLineSearch:   12[ 17] 11:58:02   -39700.319354*       0.1424
BFGSLineSearch:   13[ 18] 12:05:30   -39700.323116*       0.1397
BFGSLineSearch:   14[ 19] 12:12:06   -39700.326218*       0.1086
BFGSLineSearch:   15[ 20] 12:20:52   -39700.329520*       0.2583
BFGSLineSearch:   16[ 21] 12:28:40   -39700.334157*       0.1805
BFGSLineSearch:   17[ 22] 12:37:52   -39700.338642*       0.2662
BFGSLineSearch:   18[ 23] 12:47:07   -39700.345133*       0.2008
BFGSLineSearch:   19[ 24] 12:57:49   -39700.351604*       0.1111
BFGSLineSearch:   20[ 25] 13:07:35   -39700.355442*       0.1418
BFGSLineSearch:   21[ 26] 13:15:01   -39700.358393*       0.0553
BFGSLineSearch:   22[ 27] 13:23:13   -39700.359880*       0.0630
BFGSLineSearch:   23[ 28] 13:30:52   -39700.360906*       0.1559
BFGSLineSearch:   24[ 30] 13:45:57   -39700.361821*       0.0543
BFGSLineSearch:   25[ 31] 13:54:52   -39700.362774*       0.1004
BFGSLineSearch:   26[ 32] 14:02:44   -39700.363724*       0.0669
BFGSLineSearch:   27[ 33] 14:11:14   -39700.364575*       0.0429
