                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 15:55:45   -40021.567682*       6.2896
BFGSLineSearch:    1[  2] 16:06:25   -40022.003000*       2.2180
BFGSLineSearch:    2[  4] 16:19:16   -40022.192005*       2.2556
BFGSLineSearch:    3[  6] 16:31:50   -40022.325040*       0.9510
BFGSLineSearch:    4[  8] 16:42:15   -40022.401911*       1.0914
BFGSLineSearch:    5[ 10] 16:51:44   -40022.443600*       0.6148
BFGSLineSearch:    6[ 12] 17:00:02   -40022.482242*       0.5257
BFGSLineSearch:    7[ 14] 17:08:59   -40022.513673*       0.4132
BFGSLineSearch:    8[ 16] 17:18:07   -40022.549144*       0.6748
BFGSLineSearch:    9[ 18] 17:27:09   -40022.593779*       0.8337
BFGSLineSearch:   10[ 19] 17:31:43   -40022.651354*       1.8099
BFGSLineSearch:   11[ 21] 17:42:12   -40022.731248*       1.9842
BFGSLineSearch:   12[ 23] 17:51:40   -40022.834259*       1.0136
BFGSLineSearch:   13[ 25] 18:02:04   -40022.880855*       0.8923
BFGSLineSearch:   14[ 27] 18:13:16   -40022.931138*       0.8121
BFGSLineSearch:   15[ 28] 18:17:56   -40022.966724*       0.5415
BFGSLineSearch:   16[ 30] 18:26:51   -40022.985702*       0.4809
BFGSLineSearch:   17[ 32] 18:34:30   -40022.998458*       0.5049
BFGSLineSearch:   18[ 34] 18:43:51   -40023.010740*       0.2664
BFGSLineSearch:   19[ 35] 18:47:59   -40023.023924*       0.3333
BFGSLineSearch:   20[ 37] 18:58:14   -40023.041994*       0.2960
BFGSLineSearch:   21[ 38] 19:02:45   -40023.053313*       0.4365
BFGSLineSearch:   22[ 39] 19:07:10   -40023.070545*       0.4432
BFGSLineSearch:   23[ 41] 19:17:28   -40023.083316*       0.2993
BFGSLineSearch:   24[ 43] 19:25:15   -40023.093743*       0.2810
BFGSLineSearch:   25[ 45] 19:35:10   -40023.101460*       0.3022
BFGSLineSearch:   26[ 46] 19:39:05   -40023.111149*       0.2067
BFGSLineSearch:   27[ 47] 19:43:32   -40023.117774*       0.1666
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 23:24:29   -40023.117769*       0.1640
BFGSLineSearch:    1[  2] 23:46:46   -40023.122030*       0.1089
