                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 22:45:06   -40002.167413*       5.5435
BFGSLineSearch:    1[  2] 23:14:23   -40003.071127*       4.8752
BFGSLineSearch:    2[  3] 23:26:27   -40004.181570*       4.1123
BFGSLineSearch:    3[  4] 23:38:25   -40005.027121*       2.8037
BFGSLineSearch:    4[  5] 23:50:56   -40005.358947*       6.1357
BFGSLineSearch:    5[  7] 00:11:53   -40005.701027*       2.0414
BFGSLineSearch:    6[  9] 00:37:08   -40005.821835*       1.3822
BFGSLineSearch:    7[ 11] 01:01:06   -40005.883073*       1.0737
BFGSLineSearch:    8[ 13] 01:24:22   -40005.922155*       0.5147
BFGSLineSearch:    9[ 15] 01:48:36   -40005.956603*       0.6365
BFGSLineSearch:   10[ 17] 02:15:46   -40005.983018*       0.4857
BFGSLineSearch:   11[ 19] 02:43:45   -40006.006563*       0.8345
BFGSLineSearch:   12[ 20] 02:53:34   -40006.031215*       0.4797
BFGSLineSearch:   13[ 22] 03:14:10   -40006.053216*       0.5735
BFGSLineSearch:   14[ 24] 03:38:51   -40006.066235*       0.2504
BFGSLineSearch:   15[ 26] 04:04:04   -40006.074889*       0.2702
BFGSLineSearch:   16[ 28] 04:23:09   -40006.083932*       0.3524
BFGSLineSearch:   17[ 29] 04:34:59   -40006.090591*       0.1433
BFGSLineSearch:   18[ 30] 04:46:22   -40006.095931*       0.1203
BFGSLineSearch:   19[ 31] 04:53:56   -40006.101229*       0.1571
BFGSLineSearch:   20[ 33] 05:10:30   -40006.105470*       0.1766
BFGSLineSearch:   21[ 35] 05:34:04   -40006.109249*       0.1302
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:43:29   -40006.109253*       0.1306
BFGSLineSearch:    1[  2] 09:51:22   -40006.111074*       0.1917
BFGSLineSearch:    2[  3] 09:55:44   -40006.114537*       0.0763
BFGSLineSearch:    3[  4] 10:02:30   -40006.118643*       0.1313
BFGSLineSearch:    4[  5] 10:07:10   -40006.122750*       0.1188
BFGSLineSearch:    5[  7] 10:15:47   -40006.126415*       0.1481
BFGSLineSearch:    6[  8] 10:22:16   -40006.130276*       0.1027
BFGSLineSearch:    7[  9] 10:27:49   -40006.132450*       0.1333
BFGSLineSearch:    8[ 11] 10:35:26   -40006.134025*       0.0759
BFGSLineSearch:    9[ 12] 10:38:43   -40006.136012*       0.0776
BFGSLineSearch:   10[ 13] 10:43:06   -40006.138352*       0.1493
BFGSLineSearch:   11[ 14] 10:47:08   -40006.141229*       0.1339
BFGSLineSearch:   12[ 15] 10:52:00   -40006.142802*       0.1135
BFGSLineSearch:   13[ 16] 10:56:07   -40006.144486*       0.0658
BFGSLineSearch:   14[ 17] 11:01:49   -40006.145878*       0.0842
BFGSLineSearch:   15[ 18] 11:05:27   -40006.146756*       0.0840
BFGSLineSearch:   16[ 19] 11:10:08   -40006.147904*       0.0743
BFGSLineSearch:   17[ 20] 11:14:10   -40006.148701*       0.0426
