                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:46:02   -39985.336956*      10.3217
BFGSLineSearch:    1[  2] 17:10:12   -39985.756094*       2.2653
BFGSLineSearch:    2[  4] 17:27:40   -39986.250087*       3.4478
BFGSLineSearch:    3[  7] 17:53:07   -39987.170946*       3.9706
BFGSLineSearch:    4[  9] 18:09:50   -39987.390777*       4.3134
BFGSLineSearch:    5[ 11] 18:28:16   -39987.802327*       3.7196
BFGSLineSearch:    6[ 13] 18:44:08   -39988.054202*       2.3912
BFGSLineSearch:    7[ 15] 19:02:13   -39988.167606*       0.9354
BFGSLineSearch:    8[ 17] 19:21:39   -39988.260146*       1.2979
BFGSLineSearch:    9[ 19] 19:41:46   -39988.327905*       0.8200
BFGSLineSearch:   10[ 21] 19:56:35   -39988.369766*       0.6169
BFGSLineSearch:   11[ 23] 20:12:32   -39988.397686*       0.4638
BFGSLineSearch:   12[ 25] 20:26:49   -39988.419722*       0.5297
BFGSLineSearch:   13[ 26] 20:36:13   -39988.435673*       0.9708
BFGSLineSearch:   14[ 28] 20:50:37   -39988.451783*       0.6701
BFGSLineSearch:   15[ 30] 21:06:55   -39988.477619*       0.5092
BFGSLineSearch:   16[ 32] 21:22:55   -39988.491037*       0.4027
BFGSLineSearch:   17[ 33] 21:30:57   -39988.511873*       0.4479
BFGSLineSearch:   18[ 34] 21:41:11   -39988.547296*       0.3606
BFGSLineSearch:   19[ 36] 21:59:30   -39988.566386*       0.2978
BFGSLineSearch:   20[ 37] 22:07:37   -39988.587724*       0.3721
BFGSLineSearch:   21[ 38] 22:17:10   -39988.605199*       0.3692
BFGSLineSearch:   22[ 39] 22:24:04   -39988.630389*       0.3018
BFGSLineSearch:   23[ 40] 22:32:23   -39988.649539*       0.3771
BFGSLineSearch:   24[ 41] 22:39:14   -39988.676941*       0.2169
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 21:35:47   -39988.676926*       0.2123
BFGSLineSearch:    1[  1] 21:49:24   -39988.684971*       0.3959
BFGSLineSearch:    2[  3] 22:14:02   -39988.732108*       0.3902
BFGSLineSearch:    3[  4] 22:29:49   -39988.792064*       0.2953
BFGSLineSearch:    4[  6] 23:02:29   -39988.868207*       0.7164
BFGSLineSearch:    5[  8] 23:33:13   -39988.924539*       0.9057
BFGSLineSearch:    6[ 10] 00:01:08   -39989.015676*       0.6084
BFGSLineSearch:    7[ 12] 00:28:57   -39989.071181*       0.3754
BFGSLineSearch:    8[ 13] 00:40:51   -39989.099310*       0.3476
BFGSLineSearch:    9[ 14] 00:58:04   -39989.115792*       0.4930
BFGSLineSearch:   10[ 16] 01:29:17   -39989.129459*       0.2942
BFGSLineSearch:   11[ 17] 01:40:30   -39989.148699*       0.3035
BFGSLineSearch:   12[ 18] 01:53:01   -39989.165973*       0.3661
BFGSLineSearch:   13[ 19] 02:05:44   -39989.185769*       0.3129
BFGSLineSearch:   14[ 20] 02:19:35   -39989.197622*       0.4022
BFGSLineSearch:   15[ 21] 02:31:12   -39989.210545*       0.1243
BFGSLineSearch:   16[ 22] 02:43:36   -39989.217948*       0.1887
BFGSLineSearch:   17[ 23] 02:57:48   -39989.222328*       0.2032
BFGSLineSearch:   18[ 24] 03:08:35   -39989.225538*       0.0950
BFGSLineSearch:   19[ 25] 03:20:28   -39989.227676*       0.0944
BFGSLineSearch:   20[ 26] 03:30:39   -39989.229618*       0.0867
BFGSLineSearch:   21[ 27] 03:41:03   -39989.232015*       0.0649
BFGSLineSearch:   22[ 28] 03:52:39   -39989.234225*       0.1333
BFGSLineSearch:   23[ 29] 04:03:44   -39989.235813*       0.0646
BFGSLineSearch:   24[ 30] 04:13:38   -39989.236841*       0.0552
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 10:43:19   -39989.236814*       0.0547
BFGSLineSearch:    1[  2] 11:01:14   -39989.237340*       0.0504
BFGSLineSearch:    2[  3] 11:11:43   -39989.238028*       0.0490
