                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 11:49:16   -40035.609993*       4.7702
BFGSLineSearch:    1[  2] 14:19:19   -40036.168473*       3.2361
BFGSLineSearch:    2[  4] 16:37:56   -40036.434152*       1.5095
BFGSLineSearch:    3[  6] 18:03:35   -40036.653235*       1.6340
BFGSLineSearch:    4[  8] 19:58:05   -40036.916422*       2.0716
BFGSLineSearch:    5[ 10] 20:31:31   -40037.203463*       2.5179
BFGSLineSearch:    6[ 12] 20:57:35   -40037.469021*       3.1847
BFGSLineSearch:    7[ 14] 21:23:58   -40037.775530*       2.6045
BFGSLineSearch:    8[ 16] 21:56:39   -40038.004086*       1.9119
BFGSLineSearch:    9[ 18] 22:20:37   -40038.163913*       1.0067
BFGSLineSearch:   10[ 20] 22:35:33   -40038.278341*       1.0480
BFGSLineSearch:   11[ 22] 22:47:02   -40038.340550*       0.9194
BFGSLineSearch:   12[ 24] 23:01:16   -40038.389537*       0.7605
BFGSLineSearch:   13[ 26] 23:15:58   -40038.429071*       0.5857
BFGSLineSearch:   14[ 27] 23:45:30   -40038.479038*       1.0297
BFGSLineSearch:   15[ 29] 01:39:01   -40038.533646*       0.5671
BFGSLineSearch:   16[ 30] 02:23:24   -40038.565024*       0.7126
BFGSLineSearch:   17[ 32] 04:10:39   -40038.604539*       0.4099
BFGSLineSearch:   18[ 33] 05:14:19   -40038.652971*       0.6326
BFGSLineSearch:   19[ 34] 05:57:55   -40038.697716*       0.8949
BFGSLineSearch:   20[ 35] 06:31:37   -40038.744762*       0.9273
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 10:54:27   -40038.744798*       0.9202
BFGSLineSearch:    1[  2] 11:12:51   -40038.791203*       0.5078
BFGSLineSearch:    2[  3] 11:22:36   -40038.826792*       0.2856
BFGSLineSearch:    3[  4] 11:35:28   -40038.900155*       0.3485
BFGSLineSearch:    4[  5] 11:44:33   -40038.945448*       0.6334
BFGSLineSearch:    5[  7] 12:07:35   -40038.977228*       0.5675
BFGSLineSearch:    6[  9] 12:25:38   -40039.002675*       0.3404
BFGSLineSearch:    7[ 10] 12:35:56   -40039.024588*       0.5466
BFGSLineSearch:    8[ 11] 12:49:24   -40039.041058*       0.3601
BFGSLineSearch:    9[ 12] 13:00:18   -40039.053322*       0.1905
BFGSLineSearch:   10[ 13] 13:12:23   -40039.067026*       0.1904
BFGSLineSearch:   11[ 14] 13:22:26   -40039.081392*       0.3990
BFGSLineSearch:   12[ 15] 13:33:28   -40039.096739*       0.3430
BFGSLineSearch:   13[ 16] 13:44:07   -40039.113776*       0.3035
BFGSLineSearch:   14[ 17] 13:52:45   -40039.131458*       0.3135
BFGSLineSearch:   15[ 18] 14:01:52   -40039.157884*       0.4363
BFGSLineSearch:   16[ 19] 14:15:38   -40039.177292*       0.6520
BFGSLineSearch:   17[ 20] 14:27:18   -40039.201681*       0.6703
BFGSLineSearch:   18[ 21] 14:39:46   -40039.222189*       0.2667
BFGSLineSearch:   19[ 22] 14:48:43   -40039.240308*       0.3034
BFGSLineSearch:   20[ 23] 15:02:08   -40039.255480*       0.1874
BFGSLineSearch:   21[ 24] 15:09:53   -40039.264761*       0.3067
BFGSLineSearch:   22[ 25] 15:19:50   -40039.275468*       0.3429
BFGSLineSearch:   23[ 26] 15:33:57   -40039.285522*       0.2167
BFGSLineSearch:   24[ 27] 15:42:02   -40039.291096*       0.2666
BFGSLineSearch:   25[ 28] 15:53:25   -40039.297570*       0.1833
BFGSLineSearch:   26[ 29] 16:01:12   -40039.301528*       0.1198
BFGSLineSearch:   27[ 30] 16:10:19   -40039.307514*       0.2227
BFGSLineSearch:   28[ 31] 16:22:20   -40039.316718*       0.2269
BFGSLineSearch:   29[ 32] 16:33:11   -40039.329293*       0.2631
BFGSLineSearch:   30[ 34] 16:49:17   -40039.348976*       0.4391
BFGSLineSearch:   31[ 35] 16:57:49   -40039.362435*       0.3476
BFGSLineSearch:   32[ 36] 17:08:13   -40039.371783*       0.5393
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:26:51   -40039.371773*       0.5392
BFGSLineSearch:    1[  2] 19:55:32   -40039.379650*       0.2255
BFGSLineSearch:    2[  4] 20:16:48   -40039.390543*       0.3362
BFGSLineSearch:    3[  5] 20:26:50   -40039.402553*       0.3168
BFGSLineSearch:    4[  6] 20:36:33   -40039.407746*       0.1454
BFGSLineSearch:    5[  7] 20:40:58   -40039.412214*       0.1372
BFGSLineSearch:    6[  8] 20:47:49   -40039.416289*       0.1218
BFGSLineSearch:    7[  9] 20:54:50   -40039.417411*       0.1644
BFGSLineSearch:    8[ 10] 21:04:34   -40039.419841*       0.3029
BFGSLineSearch:    9[ 11] 21:12:20   -40039.421912*       0.1130
BFGSLineSearch:   10[ 12] 21:20:28   -40039.423642*       0.0834
BFGSLineSearch:   11[ 13] 21:27:49   -40039.425411*       0.0507
BFGSLineSearch:   12[ 14] 21:33:18   -40039.426876*       0.0668
BFGSLineSearch:   13[ 15] 21:40:05   -40039.428340*       0.1227
BFGSLineSearch:   14[ 16] 21:48:07   -40039.429477*       0.0664
BFGSLineSearch:   15[ 17] 21:54:25   -40039.430448*       0.1277
BFGSLineSearch:   16[ 18] 22:01:32   -40039.431187*       0.0490
