                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:20:51   -39713.282331*       2.3338
BFGSLineSearch:    1[  2] 19:59:54   -39713.785356*       2.9437
BFGSLineSearch:    2[  3] 20:15:46   -39714.370344*       1.9663
BFGSLineSearch:    3[  4] 20:29:06   -39714.824439*       2.3360
BFGSLineSearch:    4[  6] 20:53:32   -39715.127897*       2.0417
BFGSLineSearch:    5[  8] 21:24:54   -39715.527691*       1.2871
BFGSLineSearch:    6[  9] 21:40:32   -39715.896852*       1.6236
BFGSLineSearch:    7[ 11] 22:01:57   -39716.101240*       1.0704
BFGSLineSearch:    8[ 13] 22:55:31   -39716.248598*       1.2825
BFGSLineSearch:    9[ 15] 00:20:30   -39716.360180*       0.6634
BFGSLineSearch:   10[ 17] 00:38:07   -39716.443756*       0.6068
BFGSLineSearch:   11[ 19] 01:13:12   -39716.511827*       0.4443
BFGSLineSearch:   12[ 21] 01:51:21   -39716.558777*       0.4366
BFGSLineSearch:   13[ 23] 02:16:12   -39716.590936*       0.4175
BFGSLineSearch:   14[ 25] 02:46:11   -39716.624654*       0.3334
BFGSLineSearch:   15[ 26] 03:00:38   -39716.659783*       0.5134
BFGSLineSearch:   16[ 28] 03:31:38   -39716.686709*       0.3370
BFGSLineSearch:   17[ 29] 03:47:20   -39716.707920*       0.4552
BFGSLineSearch:   18[ 30] 03:58:29   -39716.722381*       0.3287
BFGSLineSearch:   19[ 32] 04:29:20   -39716.737757*       0.2266
BFGSLineSearch:   20[ 33] 04:44:50   -39716.746869*       0.1890
BFGSLineSearch:   21[ 34] 04:50:22   -39716.756707*       0.1440
BFGSLineSearch:   22[ 35] 04:58:05   -39716.762611*       0.2369
BFGSLineSearch:   23[ 36] 05:05:05   -39716.770080*       0.1393
BFGSLineSearch:   24[ 37] 05:12:37   -39716.774240*       0.1950
BFGSLineSearch:   25[ 38] 05:18:21   -39716.778791*       0.1939
BFGSLineSearch:   26[ 40] 05:30:27   -39716.782778*       0.1264
BFGSLineSearch:   27[ 41] 05:41:03   -39716.786376*       0.1274
BFGSLineSearch:   28[ 42] 05:46:58   -39716.789150*       0.1348
BFGSLineSearch:   29[ 43] 05:51:49   -39716.792860*       0.0906
BFGSLineSearch:   30[ 44] 06:00:21   -39716.794931*       0.1213
BFGSLineSearch:   31[ 45] 06:06:31   -39716.798322*       0.1161
BFGSLineSearch:   32[ 46] 06:12:20   -39716.801976*       0.1216
BFGSLineSearch:   33[ 47] 06:19:52   -39716.806552*       0.0802
BFGSLineSearch:   34[ 48] 06:25:11   -39716.809016*       0.1133
BFGSLineSearch:   35[ 49] 06:30:02   -39716.810807*       0.0538
BFGSLineSearch:   36[ 50] 06:36:51   -39716.811808*       0.0502
BFGSLineSearch:   37[ 51] 06:43:52   -39716.812434*       0.0477
