                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 20:57:39   -39968.908673*       5.1066
BFGSLineSearch:    1[  2] 21:30:31   -39969.446397*       1.6661
BFGSLineSearch:    2[  4] 22:09:53   -39969.516605*       0.4662
BFGSLineSearch:    3[  6] 22:59:16   -39969.545023*       0.8224
BFGSLineSearch:    4[  7] 23:28:20   -39969.576909*       1.1493
BFGSLineSearch:    5[  9] 23:59:38   -39969.610060*       0.8072
BFGSLineSearch:    6[ 11] 00:30:46   -39969.623515*       0.2882
BFGSLineSearch:    7[ 13] 00:52:31   -39969.636426*       0.3569
BFGSLineSearch:    8[ 14] 01:06:34   -39969.649264*       0.5375
BFGSLineSearch:    9[ 15] 01:20:57   -39969.672471*       0.3169
BFGSLineSearch:   10[ 17] 01:43:31   -39969.688301*       0.3606
BFGSLineSearch:   11[ 18] 01:59:21   -39969.712098*       0.8008
BFGSLineSearch:   12[ 19] 02:16:06   -39969.751110*       0.7418
BFGSLineSearch:   13[ 22] 03:08:39   -39969.832149*       1.2453
BFGSLineSearch:   14[ 23] 03:25:03   -39969.885411*       1.4766
BFGSLineSearch:   15[ 24] 03:42:45   -39969.966885*       3.0941
BFGSLineSearch:   16[ 25] 04:07:07   -39970.117630*       2.5240
BFGSLineSearch:   17[ 26] 04:21:25   -39970.295543*       2.2802
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:07:14   -39970.295576*       2.2821
BFGSLineSearch:    1[  2] 09:29:22   -39970.434765*       1.2069
BFGSLineSearch:    2[  3] 09:40:03   -39970.562867*       0.5986
BFGSLineSearch:    3[  5] 10:03:41   -39970.607201*       0.4619
BFGSLineSearch:    4[  7] 10:29:23   -39970.643407*       0.3415
BFGSLineSearch:    5[  8] 10:41:07   -39970.665329*       0.5371
BFGSLineSearch:    6[  9] 10:54:26   -39970.696475*       0.6261
BFGSLineSearch:    7[ 10] 11:05:37   -39970.714762*       0.6233
BFGSLineSearch:    8[ 12] 11:27:58   -39970.727391*       0.2895
BFGSLineSearch:    9[ 14] 11:52:38   -39970.737808*       0.6289
BFGSLineSearch:   10[ 16] 12:18:28   -39970.748192*       0.2062
BFGSLineSearch:   11[ 17] 12:30:13   -39970.754815*       0.2527
BFGSLineSearch:   12[ 18] 12:40:12   -39970.764172*       0.1347
BFGSLineSearch:   13[ 19] 12:48:55   -39970.773447*       0.2533
BFGSLineSearch:   14[ 20] 12:58:47   -39970.781892*       0.3061
BFGSLineSearch:   15[ 21] 13:08:41   -39970.790926*       0.2819
BFGSLineSearch:   16[ 22] 13:19:08   -39970.803285*       0.3327
BFGSLineSearch:   17[ 23] 13:28:37   -39970.813498*       0.1681
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:18:05   -39970.813514*       0.1619
BFGSLineSearch:    1[  2] 16:41:16   -39970.817751*       0.1945
BFGSLineSearch:    2[  3] 16:53:17   -39970.825304*       0.4036
BFGSLineSearch:    3[  4] 17:10:36   -39970.836698*       0.4666
BFGSLineSearch:    4[  5] 17:20:32   -39970.840068*       0.3026
BFGSLineSearch:    5[  6] 17:29:23   -39970.844286*       0.0795
BFGSLineSearch:    6[  7] 17:39:19   -39970.846313*       0.1214
BFGSLineSearch:    7[  8] 17:49:42   -39970.847610*       0.1627
BFGSLineSearch:    8[  9] 17:58:49   -39970.849292*       0.1389
BFGSLineSearch:    9[ 10] 18:08:13   -39970.851956*       0.0994
BFGSLineSearch:   10[ 11] 18:17:04   -39970.855944*       0.2048
BFGSLineSearch:   11[ 12] 18:27:31   -39970.862120*       0.1880
BFGSLineSearch:   12[ 13] 18:36:43   -39970.868497*       0.1791
BFGSLineSearch:   13[ 14] 18:47:36   -39970.874795*       0.2031
BFGSLineSearch:   14[ 15] 18:55:08   -39970.878057*       0.2009
BFGSLineSearch:   15[ 17] 19:12:57   -39970.881598*       0.2514
BFGSLineSearch:   16[ 19] 19:31:29   -39970.884370*       0.1407
BFGSLineSearch:   17[ 20] 19:40:49   -39970.887333*       0.2312
BFGSLineSearch:   18[ 22] 19:58:29   -39970.889410*       0.1736
BFGSLineSearch:   19[ 23] 20:08:29   -39970.891952*       0.1402
BFGSLineSearch:   20[ 24] 20:17:43   -39970.894566*       0.1041
BFGSLineSearch:   21[ 26] 20:36:38   -39970.898904*       0.2522
BFGSLineSearch:   22[ 27] 20:46:36   -39970.903398*       0.1732
BFGSLineSearch:   23[ 28] 20:58:24   -39970.908373*       0.2078
BFGSLineSearch:   24[ 30] 21:17:31   -39970.911580*       0.1918
BFGSLineSearch:   25[ 32] 21:36:15   -39970.913710*       0.1618
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 08:41:31   -39970.913707*       0.1634
BFGSLineSearch:    1[  2] 08:59:04   -39970.914802*       0.1055
BFGSLineSearch:    2[  3] 09:07:13   -39970.917252*       0.1026
BFGSLineSearch:    3[  4] 09:16:22   -39970.918499*       0.3118
BFGSLineSearch:    4[  5] 09:24:50   -39970.919792*       0.0802
BFGSLineSearch:    5[  6] 09:32:25   -39970.920456*       0.0642
BFGSLineSearch:    6[  7] 09:40:05   -39970.921193*       0.0718
BFGSLineSearch:    7[  8] 09:47:25   -39970.921504*       0.0993
BFGSLineSearch:    8[  9] 09:53:33   -39970.921917*       0.0352
