                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 17:42:50   -39950.939975*       2.8431
BFGSLineSearch:    1[  2] 18:16:34   -39951.203579*       2.3757
BFGSLineSearch:    2[  4] 18:43:11   -39951.444213*       2.8596
BFGSLineSearch:    3[  6] 19:06:54   -39951.607822*       3.5447
BFGSLineSearch:    4[  8] 19:33:05   -39951.884899*       3.4826
BFGSLineSearch:    5[  9] 19:46:23   -39952.563525*       7.2399
BFGSLineSearch:    6[ 10] 19:59:58   -39953.024748*       3.8002
BFGSLineSearch:    7[ 11] 20:13:45   -39953.667706*       7.5365
BFGSLineSearch:    8[ 12] 20:26:33   -39954.216900*       2.6607
BFGSLineSearch:    9[ 14] 20:51:41   -39954.379363*       0.9306
BFGSLineSearch:   10[ 16] 21:16:14   -39954.483183*       0.9727
BFGSLineSearch:   11[ 17] 21:28:37   -39954.617358*       2.5469
BFGSLineSearch:   12[ 19] 21:53:28   -39954.733359*       1.6655
BFGSLineSearch:   13[ 21] 22:14:01   -39954.815423*       1.3637
BFGSLineSearch:   14[ 23] 22:37:58   -39954.871370*       1.0450
BFGSLineSearch:   15[ 25] 22:57:58   -39954.903986*       0.4696
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:06:25   -39954.903988*       0.4743
BFGSLineSearch:    1[  2] 09:26:34   -39954.915504*       0.3830
BFGSLineSearch:    2[  3] 09:36:09   -39954.933907*       0.1842
BFGSLineSearch:    3[  5] 09:56:42   -39954.940181*       0.3824
BFGSLineSearch:    4[  6] 10:07:12   -39954.946714*       0.1997
BFGSLineSearch:    5[  7] 10:18:23   -39954.950791*       0.2313
BFGSLineSearch:    6[  8] 10:26:52   -39954.953739*       0.1896
BFGSLineSearch:    7[ 10] 10:43:05   -39954.956130*       0.1623
BFGSLineSearch:    8[ 12] 10:56:51   -39954.957784*       0.1389
BFGSLineSearch:    9[ 13] 11:05:28   -39954.959055*       0.1253
BFGSLineSearch:   10[ 14] 11:12:11   -39954.961650*       0.1604
BFGSLineSearch:   11[ 15] 11:21:51   -39954.965091*       0.3528
BFGSLineSearch:   12[ 16] 11:31:34   -39954.970745*       0.2630
BFGSLineSearch:   13[ 17] 11:42:49   -39954.978749*       0.2660
BFGSLineSearch:   14[ 18] 11:53:13   -39954.985786*       0.2318
BFGSLineSearch:   15[ 20] 12:19:57   -39954.989263*       0.1946
BFGSLineSearch:   16[ 22] 12:36:42   -39954.993852*       0.2599
BFGSLineSearch:   17[ 23] 12:45:44   -39954.997532*       0.1607
BFGSLineSearch:   18[ 24] 12:56:29   -39954.999868*       0.1086
BFGSLineSearch:   19[ 25] 13:06:12   -39955.001660*       0.0823
BFGSLineSearch:   20[ 26] 13:13:27   -39955.002908*       0.0906
BFGSLineSearch:   21[ 27] 13:20:25   -39955.003807*       0.0803
BFGSLineSearch:   22[ 28] 13:27:35   -39955.004732*       0.0667
BFGSLineSearch:   23[ 29] 13:36:27   -39955.005791*       0.0432
