                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 17:38:09   -39726.539780*       4.7414
BFGSLineSearch:    1[  1] 17:51:24   -39727.135802*       6.3374
BFGSLineSearch:    2[  2] 18:05:08   -39727.641894*       5.7019
BFGSLineSearch:    3[  3] 18:16:59   -39728.530739*       5.7912
BFGSLineSearch:    4[  4] 18:32:17   -39729.621778*       4.7699
BFGSLineSearch:    5[  5] 18:48:50   -39730.946864*       3.2210
BFGSLineSearch:    6[  7] 19:17:14   -39731.203577*       1.9462
BFGSLineSearch:    7[  9] 19:43:45   -39731.366043*       1.6669
BFGSLineSearch:    8[ 11] 20:06:29   -39731.443986*       0.8695
BFGSLineSearch:    9[ 13] 20:27:01   -39731.498756*       0.8673
BFGSLineSearch:   10[ 15] 20:52:27   -39731.550227*       0.4493
BFGSLineSearch:   11[ 16] 21:08:44   -39731.584807*       0.8743
BFGSLineSearch:   12[ 17] 21:22:15   -39731.617668*       0.7335
BFGSLineSearch:   13[ 19] 21:49:20   -39731.639075*       0.2758
BFGSLineSearch:   14[ 21] 22:07:40   -39731.649156*       0.1859
BFGSLineSearch:   15[ 23] 22:23:07   -39731.656780*       0.3100
BFGSLineSearch:   16[ 24] 22:32:31   -39731.662955*       0.3397
BFGSLineSearch:   17[ 25] 22:42:12   -39731.674220*       0.2088
BFGSLineSearch:   18[ 26] 22:52:31   -39731.681563*       0.2761
BFGSLineSearch:   19[ 27] 23:03:32   -39731.691666*       0.2739
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:07:55   -39731.691677*       0.2746
BFGSLineSearch:    1[  2] 09:30:57   -39731.697515*       0.2069
BFGSLineSearch:    2[  3] 09:42:44   -39731.704967*       0.2726
BFGSLineSearch:    3[  4] 10:07:24   -39731.729717*       0.2533
BFGSLineSearch:    4[  6] 10:45:55   -39731.744872*       0.4058
BFGSLineSearch:    5[  7] 11:07:40   -39731.757513*       0.5815
BFGSLineSearch:    6[  8] 11:17:48   -39731.777591*       0.5274
BFGSLineSearch:    7[  9] 11:33:53   -39731.800749*       0.8332
BFGSLineSearch:    8[ 11] 11:55:09   -39731.822141*       0.5566
BFGSLineSearch:    9[ 13] 12:16:59   -39731.841317*       0.4018
BFGSLineSearch:   10[ 14] 12:32:51   -39731.853081*       0.8715
BFGSLineSearch:   11[ 16] 12:52:37   -39731.866030*       0.6332
BFGSLineSearch:   12[ 18] 13:18:12   -39731.882990*       0.3425
BFGSLineSearch:   13[ 19] 13:32:01   -39731.902023*       0.4962
BFGSLineSearch:   14[ 20] 13:50:12   -39731.925990*       0.6028
BFGSLineSearch:   15[ 21] 14:03:59   -39731.942702*       0.2650
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:22:25   -39731.942701*       0.2653
BFGSLineSearch:    1[  2] 16:42:55   -39731.949172*       0.5601
BFGSLineSearch:    2[  3] 16:54:26   -39731.964034*       0.3996
BFGSLineSearch:    3[  4] 17:13:54   -39731.996854*       0.8287
BFGSLineSearch:    4[  5] 17:25:17   -39732.019119*       0.3073
BFGSLineSearch:    5[  6] 17:37:59   -39732.036545*       0.5146
BFGSLineSearch:    6[  7] 17:49:24   -39732.044653*       0.3234
BFGSLineSearch:    7[  8] 17:59:57   -39732.057673*       0.5342
BFGSLineSearch:    8[  9] 18:10:23   -39732.069638*       0.2842
BFGSLineSearch:    9[ 10] 18:21:15   -39732.080369*       0.3685
BFGSLineSearch:   10[ 11] 18:35:36   -39732.092570*       0.2198
BFGSLineSearch:   11[ 12] 18:45:57   -39732.098214*       0.4139
BFGSLineSearch:   12[ 13] 18:54:43   -39732.104453*       0.1159
BFGSLineSearch:   13[ 14] 19:03:19   -39732.109570*       0.0861
BFGSLineSearch:   14[ 15] 19:13:24   -39732.114763*       0.1732
BFGSLineSearch:   15[ 16] 19:22:58   -39732.117086*       0.1242
BFGSLineSearch:   16[ 17] 19:32:26   -39732.118986*       0.0781
BFGSLineSearch:   17[ 18] 19:40:50   -39732.120331*       0.0479
