                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 17:39:19   -39713.162883*       3.4567
BFGSLineSearch:    1[  2] 18:03:59   -39713.475828*       2.3219
BFGSLineSearch:    2[  3] 18:15:23   -39713.887187*       2.1267
BFGSLineSearch:    3[  5] 18:40:19   -39713.990681*       0.8849
BFGSLineSearch:    4[  7] 19:02:04   -39714.054178*       0.8075
BFGSLineSearch:    5[  9] 19:23:37   -39714.110977*       0.6621
BFGSLineSearch:    6[ 10] 19:32:59   -39714.154035*       1.6418
BFGSLineSearch:    7[ 12] 19:55:23   -39714.182801*       0.7826
BFGSLineSearch:    8[ 13] 20:06:25   -39714.214064*       0.6760
BFGSLineSearch:    9[ 15] 20:26:53   -39714.240777*       1.0060
BFGSLineSearch:   10[ 17] 20:49:05   -39714.272323*       0.3723
BFGSLineSearch:   11[ 19] 21:10:08   -39714.295877*       0.3763
BFGSLineSearch:   12[ 20] 21:22:49   -39714.320134*       0.8582
BFGSLineSearch:   13[ 21] 21:32:19   -39714.347428*       0.3227
BFGSLineSearch:   14[ 22] 21:42:11   -39714.359088*       0.3543
BFGSLineSearch:   15[ 23] 21:52:45   -39714.376473*       0.1919
BFGSLineSearch:   16[ 25] 22:14:20   -39714.389980*       0.2803
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:06:13   -39714.389980*       0.2784
BFGSLineSearch:    1[  2] 09:27:57   -39714.397247*       0.2364
BFGSLineSearch:    2[  4] 09:52:53   -39714.425832*       0.3016
BFGSLineSearch:    3[  5] 10:03:51   -39714.440665*       0.2674
BFGSLineSearch:    4[  7] 10:22:33   -39714.446735*       0.2520
BFGSLineSearch:    5[  9] 10:40:07   -39714.450281*       0.0959
BFGSLineSearch:    6[ 10] 10:48:47   -39714.452729*       0.1673
BFGSLineSearch:    7[ 11] 10:59:07   -39714.455520*       0.1364
BFGSLineSearch:    8[ 13] 11:18:16   -39714.457731*       0.2061
BFGSLineSearch:    9[ 14] 11:28:50   -39714.460015*       0.1266
BFGSLineSearch:   10[ 15] 11:38:05   -39714.462834*       0.1499
BFGSLineSearch:   11[ 16] 11:46:40   -39714.465857*       0.2256
BFGSLineSearch:   12[ 17] 11:56:56   -39714.469222*       0.1660
BFGSLineSearch:   13[ 18] 12:07:21   -39714.474163*       0.2247
BFGSLineSearch:   14[ 19] 12:17:05   -39714.480068*       0.2468
BFGSLineSearch:   15[ 20] 12:27:43   -39714.490140*       0.1830
BFGSLineSearch:   16[ 23] 12:59:19   -39714.502317*       0.5014
BFGSLineSearch:   17[ 24] 13:11:32   -39714.522624*       0.9850
BFGSLineSearch:   18[ 25] 13:29:18   -39714.554377*       0.6961
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:22:51   -39714.554397*       0.6967
BFGSLineSearch:    1[  2] 16:49:14   -39714.600522*       0.6487
BFGSLineSearch:    2[  3] 17:00:49   -39714.650409*       1.2089
BFGSLineSearch:    3[  5] 17:25:29   -39714.777087*       2.1931
BFGSLineSearch:    4[  6] 17:37:39   -39714.940881*       1.9578
BFGSLineSearch:    5[  7] 17:50:23   -39715.146441*       0.8971
BFGSLineSearch:    6[  9] 18:12:40   -39715.203471*       0.8110
BFGSLineSearch:    7[ 11] 18:32:36   -39715.246082*       0.6157
BFGSLineSearch:    8[ 13] 18:55:45   -39715.277585*       0.5438
BFGSLineSearch:    9[ 15] 19:19:03   -39715.301574*       0.9193
BFGSLineSearch:   10[ 16] 19:29:08   -39715.330862*       0.7167
BFGSLineSearch:   11[ 17] 19:40:07   -39715.371632*       0.3685
BFGSLineSearch:   12[ 18] 19:53:45   -39715.399007*       0.4601
BFGSLineSearch:   13[ 19] 20:06:03   -39715.418697*       0.5435
BFGSLineSearch:   14[ 20] 20:19:46   -39715.435167*       0.2717
BFGSLineSearch:   15[ 21] 20:30:21   -39715.447687*       0.2337
BFGSLineSearch:   16[ 22] 20:43:24   -39715.458770*       0.3816
BFGSLineSearch:   17[ 23] 20:56:54   -39715.472274*       0.1851
BFGSLineSearch:   18[ 24] 21:06:16   -39715.485945*       0.1701
BFGSLineSearch:   19[ 25] 21:16:58   -39715.499343*       0.2583
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 08:39:20   -39715.499339*       0.2558
BFGSLineSearch:    1[  1] 08:48:08   -39715.506200*       0.2118
BFGSLineSearch:    2[  3] 09:08:10   -39715.528021*       0.4370
BFGSLineSearch:    3[  4] 09:18:41   -39715.545542*       0.2235
BFGSLineSearch:    4[  5] 09:28:54   -39715.560780*       0.3767
BFGSLineSearch:    5[  6] 09:38:01   -39715.571984*       0.1719
BFGSLineSearch:    6[  7] 09:47:57   -39715.576346*       0.1859
BFGSLineSearch:    7[  8] 09:56:51   -39715.579049*       0.1726
BFGSLineSearch:    8[  9] 10:05:33   -39715.581178*       0.1625
BFGSLineSearch:    9[ 10] 10:15:02   -39715.583563*       0.1483
BFGSLineSearch:   10[ 11] 10:23:26   -39715.585170*       0.1229
BFGSLineSearch:   11[ 12] 10:32:26   -39715.586721*       0.0971
BFGSLineSearch:   12[ 13] 10:40:43   -39715.588309*       0.0572
BFGSLineSearch:   13[ 14] 10:47:52   -39715.589922*       0.0951
BFGSLineSearch:   14[ 15] 10:56:21   -39715.591391*       0.0888
BFGSLineSearch:   15[ 16] 11:03:08   -39715.592941*       0.1016
BFGSLineSearch:   16[ 18] 11:20:43   -39715.595029*       0.1037
BFGSLineSearch:   17[ 20] 11:36:28   -39715.596704*       0.1359
BFGSLineSearch:   18[ 21] 11:42:24   -39715.597684*       0.0891
BFGSLineSearch:   19[ 22] 11:49:06   -39715.598386*       0.0944
BFGSLineSearch:   20[ 23] 11:56:40   -39715.599168*       0.0845
BFGSLineSearch:   21[ 24] 12:04:50   -39715.600197*       0.0835
BFGSLineSearch:   22[ 25] 12:11:38   -39715.600930*       0.0608
BFGSLineSearch:   23[ 26] 12:17:42   -39715.601536*       0.0393
