                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 17:39:17   -40002.232265*       8.2417
BFGSLineSearch:    1[  2] 18:02:09   -40003.341748*       3.8024
BFGSLineSearch:    2[  4] 18:23:41   -40003.903988*       4.4055
BFGSLineSearch:    3[  5] 18:34:35   -40004.652961*       3.1405
BFGSLineSearch:    4[  7] 18:56:24   -40004.802998*       2.6535
BFGSLineSearch:    5[  8] 19:12:23   -40005.021085*       2.6922
BFGSLineSearch:    6[  9] 19:24:54   -40005.227855*       3.8777
BFGSLineSearch:    7[ 11] 19:49:22   -40005.420158*       2.8710
BFGSLineSearch:    8[ 13] 20:11:37   -40005.634334*       1.4998
BFGSLineSearch:    9[ 15] 20:32:37   -40005.728333*       0.9173
BFGSLineSearch:   10[ 17] 20:53:08   -40005.802088*       1.0226
BFGSLineSearch:   11[ 19] 21:13:02   -40005.826642*       0.4067
BFGSLineSearch:   12[ 21] 21:30:01   -40005.842272*       0.4226
BFGSLineSearch:   13[ 23] 21:49:10   -40005.860226*       0.5732
BFGSLineSearch:   14[ 24] 21:58:36   -40005.878575*       0.8091
BFGSLineSearch:   15[ 25] 22:11:41   -40005.902731*       1.8709
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:05:40   -40005.902730*       1.8700
BFGSLineSearch:    1[  2] 09:26:22   -40005.929599*       0.3195
BFGSLineSearch:    2[  4] 09:42:49   -40005.944135*       0.3256
BFGSLineSearch:    3[  5] 09:54:06   -40005.985867*       0.7066
BFGSLineSearch:    4[  7] 10:15:45   -40006.004235*       0.5108
BFGSLineSearch:    5[  8] 10:26:16   -40006.021255*       0.3667
BFGSLineSearch:    6[  9] 10:35:12   -40006.035330*       0.4311
BFGSLineSearch:    7[ 10] 10:44:24   -40006.047727*       0.2115
BFGSLineSearch:    8[ 11] 10:55:30   -40006.064175*       0.2810
BFGSLineSearch:    9[ 12] 11:06:36   -40006.082245*       0.3862
BFGSLineSearch:   10[ 13] 11:18:30   -40006.099002*       0.4070
BFGSLineSearch:   11[ 14] 11:29:54   -40006.112566*       0.2786
BFGSLineSearch:   12[ 15] 11:39:17   -40006.122263*       0.5894
BFGSLineSearch:   13[ 16] 11:49:50   -40006.127888*       0.5926
BFGSLineSearch:   14[ 17] 12:02:05   -40006.135197*       0.1827
BFGSLineSearch:   15[ 18] 12:12:24   -40006.139258*       0.3563
BFGSLineSearch:   16[ 19] 12:20:33   -40006.144827*       0.1121
BFGSLineSearch:   17[ 20] 12:35:20   -40006.149335*       0.1158
BFGSLineSearch:   18[ 21] 12:47:13   -40006.153884*       0.2263
BFGSLineSearch:   19[ 22] 12:59:19   -40006.159136*       0.3947
BFGSLineSearch:   20[ 23] 13:09:14   -40006.164108*       0.0994
BFGSLineSearch:   21[ 24] 13:18:10   -40006.167373*       0.3191
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:17:29   -40006.167379*       0.3176
BFGSLineSearch:    1[  2] 16:33:36   -40006.168783*       0.0769
BFGSLineSearch:    2[  3] 16:43:50   -40006.171023*       0.1749
BFGSLineSearch:    3[  4] 16:53:08   -40006.174123*       0.2169
BFGSLineSearch:    4[  5] 17:04:25   -40006.176855*       0.4331
BFGSLineSearch:    5[  6] 17:13:27   -40006.181716*       0.3167
BFGSLineSearch:    6[  7] 17:24:11   -40006.186325*       0.3426
BFGSLineSearch:    7[  8] 17:35:16   -40006.189419*       0.2643
BFGSLineSearch:    8[  9] 17:45:14   -40006.192785*       0.1032
BFGSLineSearch:    9[ 10] 17:54:40   -40006.196202*       0.1047
BFGSLineSearch:   10[ 11] 18:03:37   -40006.199018*       0.1391
BFGSLineSearch:   11[ 30] 19:26:15   -40006.199523*       0.1770
BFGSLineSearch:   12[ 31] 19:36:07   -40006.201479*       0.1677
BFGSLineSearch:   13[ 32] 19:47:12   -40006.204284*       0.1842
BFGSLineSearch:   14[ 34] 20:04:19   -40006.209503*       0.2044
BFGSLineSearch:   15[ 35] 20:14:08   -40006.213858*       0.2094
BFGSLineSearch:   16[ 36] 20:24:35   -40006.218182*       0.1999
BFGSLineSearch:   17[ 37] 20:34:01   -40006.221093*       0.2721
BFGSLineSearch:   18[ 38] 20:44:44   -40006.223313*       0.1832
BFGSLineSearch:   19[ 40] 21:04:32   -40006.225254*       0.1922
BFGSLineSearch:   20[ 41] 21:16:52   -40006.227732*       0.1749
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 08:39:06   -40006.227716*       0.1738
BFGSLineSearch:    1[  1] 08:48:48   -40006.229639*       0.1668
BFGSLineSearch:    2[  4] 09:14:06   -40006.235336*       0.1934
BFGSLineSearch:    3[  5] 09:22:49   -40006.240443*       0.1918
BFGSLineSearch:    4[  6] 09:32:53   -40006.244711*       0.3730
BFGSLineSearch:    5[  7] 09:42:01   -40006.252851*       0.1697
BFGSLineSearch:    6[  9] 10:00:56   -40006.256297*       0.2737
BFGSLineSearch:    7[ 10] 10:12:25   -40006.266371*       0.2407
BFGSLineSearch:    8[ 11] 10:22:27   -40006.279455*       0.2785
BFGSLineSearch:    9[ 12] 10:33:47   -40006.291063*       0.2461
BFGSLineSearch:   10[ 13] 10:43:35   -40006.299512*       0.2622
BFGSLineSearch:   11[ 14] 10:51:59   -40006.304287*       0.3870
BFGSLineSearch:   12[ 15] 11:04:09   -40006.307657*       0.6000
BFGSLineSearch:   13[ 16] 11:11:44   -40006.311744*       0.2205
BFGSLineSearch:   14[ 17] 11:22:01   -40006.316999*       0.2739
BFGSLineSearch:   15[ 18] 11:30:50   -40006.321972*       0.1775
BFGSLineSearch:   16[ 20] 11:48:20   -40006.325820*       0.2471
BFGSLineSearch:   17[ 21] 12:01:20   -40006.332322*       0.1396
BFGSLineSearch:   18[ 22] 12:10:16   -40006.335520*       0.3716
BFGSLineSearch:   19[ 23] 12:18:02   -40006.337833*       0.1791
BFGSLineSearch:   20[ 26] 12:50:48   -40006.340837*       0.1960
BFGSLineSearch:   21[ 27] 13:02:06   -40006.345070*       0.3121
BFGSLineSearch:   22[ 28] 13:12:04   -40006.351550*       0.5635
BFGSLineSearch:   23[ 30] 13:31:30   -40006.372270*       0.2969
BFGSLineSearch:   24[ 31] 13:41:24   -40006.386265*       0.7030
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:32:44   -40006.386265*       0.7031
BFGSLineSearch:    1[  2] 16:49:58   -40006.392117*       0.3816
BFGSLineSearch:    2[  4] 17:10:23   -40006.416466*       0.3565
BFGSLineSearch:    3[  5] 17:21:39   -40006.428351*       0.4316
BFGSLineSearch:    4[  6] 17:29:50   -40006.434067*       0.2669
BFGSLineSearch:    5[  7] 17:38:17   -40006.439008*       0.2798
