---------------------
  #    meV     cm^-1
---------------------
  0    3.7i     30.1i
  1    6.8      54.5
  2    9.9      80.2
  3   10.9      88.2
  4   15.8     127.7
  5   22.5     181.2
  6   24.6     198.6
  7   25.6     206.8
  8   28.2     227.6
  9   38.2     308.3
 10   51.5     415.3
 11  100.0     806.6
 12  110.1     887.9
 13  136.4    1099.9
 14  204.2    1647.1
 15  207.1    1670.0
 16  263.6    2126.0
 17  384.8    3103.3
 18  419.9    3387.0
 19  433.9    3500.0
 20  439.5    3544.8
---------------------
Zero-point energy: 1.467 eV
