                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 17:39:40   -40003.055282*       4.9024
BFGSLineSearch:    1[  2] 18:02:58   -40003.528579*       1.3783
BFGSLineSearch:    2[  4] 18:31:33   -40003.601029*       0.8607
BFGSLineSearch:    3[  6] 18:57:09   -40003.661817*       0.5905
BFGSLineSearch:    4[  8] 19:17:51   -40003.695044*       0.7828
BFGSLineSearch:    5[ 10] 19:47:18   -40003.721634*       0.8413
BFGSLineSearch:    6[ 12] 20:10:08   -40003.757598*       0.8288
BFGSLineSearch:    7[ 14] 20:36:02   -40003.774343*       0.5331
BFGSLineSearch:    8[ 16] 21:01:04   -40003.792712*       0.4854
BFGSLineSearch:    9[ 17] 21:14:31   -40003.834647*       1.0942
BFGSLineSearch:   10[ 20] 21:58:47   -40003.992706*       1.5652
BFGSLineSearch:   11[ 22] 22:25:39   -40004.046869*       2.3222
BFGSLineSearch:   12[ 23] 22:38:08   -40004.215571*       4.3336
BFGSLineSearch:   13[ 24] 22:51:13   -40004.597650*       3.1375
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:03:15   -40004.597652*       3.1386
BFGSLineSearch:    1[  2] 09:27:35   -40004.746192*       3.1084
BFGSLineSearch:    2[  3] 09:39:10   -40005.094775*       4.1774
BFGSLineSearch:    3[  4] 09:52:03   -40005.398228*       2.4624
BFGSLineSearch:    4[  6] 10:18:48   -40005.629633*       1.9281
BFGSLineSearch:    5[  8] 10:41:41   -40005.708766*       1.4535
BFGSLineSearch:    6[ 10] 11:07:45   -40005.777854*       1.4818
BFGSLineSearch:    7[ 12] 11:31:34   -40005.856845*       0.7878
BFGSLineSearch:    8[ 14] 11:53:26   -40005.906398*       0.9350
BFGSLineSearch:    9[ 15] 12:05:50   -40005.976383*       0.8901
BFGSLineSearch:   10[ 17] 12:31:49   -40006.017256*       1.2384
BFGSLineSearch:   11[ 19] 12:56:37   -40006.057574*       0.6785
BFGSLineSearch:   12[ 20] 13:08:43   -40006.094979*       0.6460
BFGSLineSearch:   13[ 21] 13:18:47   -40006.143817*       0.5712
BFGSLineSearch:   14[ 22] 13:29:48   -40006.196558*       1.0566
BFGSLineSearch:   15[ 23] 13:40:13   -40006.233113*       1.4142
BFGSLineSearch:   16[ 24] 13:50:16   -40006.256341*       0.5138
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:22:31   -40006.256353*       0.5129
BFGSLineSearch:    1[  2] 16:41:09   -40006.270825*       0.7772
BFGSLineSearch:    2[  3] 16:50:35   -40006.281711*       0.5612
BFGSLineSearch:    3[  4] 17:02:29   -40006.295616*       0.5876
BFGSLineSearch:    4[  6] 17:20:46   -40006.301040*       0.2039
BFGSLineSearch:    5[  7] 17:31:13   -40006.305770*       0.2581
BFGSLineSearch:    6[  8] 17:41:48   -40006.313445*       0.3350
BFGSLineSearch:    7[  9] 17:53:01   -40006.318205*       0.1835
BFGSLineSearch:    8[ 10] 18:02:39   -40006.324745*       0.1170
BFGSLineSearch:    9[ 11] 18:13:01   -40006.328980*       0.1216
BFGSLineSearch:   10[ 12] 18:21:59   -40006.331764*       0.3377
BFGSLineSearch:   11[ 13] 18:32:15   -40006.334886*       0.1108
BFGSLineSearch:   12[ 14] 18:41:20   -40006.337409*       0.1146
BFGSLineSearch:   13[ 15] 18:52:59   -40006.341566*       0.0972
BFGSLineSearch:   14[ 16] 19:04:38   -40006.345933*       0.1462
BFGSLineSearch:   15[ 17] 19:13:06   -40006.349424*       0.0745
BFGSLineSearch:   16[ 18] 19:21:27   -40006.352037*       0.0851
BFGSLineSearch:   17[ 19] 19:30:11   -40006.353678*       0.1589
BFGSLineSearch:   18[ 20] 19:38:45   -40006.355065*       0.1030
BFGSLineSearch:   19[ 21] 19:48:20   -40006.355977*       0.1155
BFGSLineSearch:   20[ 22] 19:57:00   -40006.357066*       0.0504
BFGSLineSearch:   21[ 23] 20:05:28   -40006.357503*       0.0874
BFGSLineSearch:   22[ 24] 20:12:50   -40006.357957*       0.0541
BFGSLineSearch:   23[ 25] 20:21:06   -40006.358430*       0.0414
