---------------------
  #    meV     cm^-1
---------------------
  0    5.2i     41.5i
  1    6.8      54.7
  2    9.4      76.1
  3    9.6      77.3
  4   13.9     112.5
  5   18.2     146.8
  6   20.9     168.7
  7   23.2     186.8
  8   26.6     214.4
  9   39.1     315.6
 10   42.8     345.1
 11  107.8     869.8
 12  116.3     938.3
 13  143.0    1153.3
 14  203.9    1644.4
 15  206.5    1665.3
 16  260.7    2103.0
 17  373.6    3013.2
 18  421.5    3399.4
 19  433.8    3498.5
 20  438.4    3536.1
---------------------
Zero-point energy: 1.458 eV
