                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 17:35:06   -39680.533709*       9.7147
BFGSLineSearch:    1[  2] 17:58:16   -39681.492554*       2.7832
BFGSLineSearch:    2[  4] 18:22:43   -39681.724633*       2.2200
BFGSLineSearch:    3[  6] 18:46:55   -39681.946196*       1.9143
BFGSLineSearch:    4[  8] 19:10:59   -39682.130680*       2.1052
BFGSLineSearch:    5[ 10] 19:36:49   -39682.215316*       1.7759
BFGSLineSearch:    6[ 12] 19:56:25   -39682.286146*       1.0281
BFGSLineSearch:    7[ 14] 20:16:14   -39682.319520*       0.5655
BFGSLineSearch:    8[ 15] 20:27:30   -39682.346788*       0.8942
BFGSLineSearch:    9[ 17] 20:44:20   -39682.364861*       0.3409
BFGSLineSearch:   10[ 18] 20:52:38   -39682.378577*       0.2683
BFGSLineSearch:   11[ 19] 21:01:27   -39682.394907*       0.4572
BFGSLineSearch:   12[ 20] 21:10:53   -39682.421150*       0.3115
BFGSLineSearch:   13[ 22] 21:31:22   -39682.437926*       0.4236
BFGSLineSearch:   14[ 24] 21:52:04   -39682.447244*       0.5477
BFGSLineSearch:   15[ 26] 22:09:37   -39682.454802*       0.3047
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:05:07   -39682.454806*       0.3045
BFGSLineSearch:    1[  2] 09:23:26   -39682.458163*       0.3248
BFGSLineSearch:    2[  4] 09:38:19   -39682.468047*       0.2117
BFGSLineSearch:    3[  5] 09:46:11   -39682.472703*       0.1742
BFGSLineSearch:    4[  6] 09:54:30   -39682.480913*       0.1100
BFGSLineSearch:    5[  8] 10:12:14   -39682.485858*       0.2638
BFGSLineSearch:    6[  9] 10:21:13   -39682.490767*       0.2428
BFGSLineSearch:    7[ 11] 10:38:39   -39682.495679*       0.5039
BFGSLineSearch:    8[ 12] 10:49:00   -39682.505249*       0.1815
BFGSLineSearch:    9[ 13] 10:57:19   -39682.514055*       0.6188
BFGSLineSearch:   10[ 14] 11:05:46   -39682.523452*       0.2239
BFGSLineSearch:   11[ 15] 11:15:05   -39682.531049*       0.2939
BFGSLineSearch:   12[ 17] 11:33:31   -39682.536583*       0.2407
BFGSLineSearch:   13[ 19] 11:50:23   -39682.539948*       0.1006
BFGSLineSearch:   14[ 21] 12:10:50   -39682.541191*       0.2837
BFGSLineSearch:   15[ 23] 12:27:24   -39682.543784*       0.2660
BFGSLineSearch:   16[ 24] 12:35:43   -39682.546009*       0.0912
BFGSLineSearch:   17[ 25] 12:42:27   -39682.548019*       0.1446
BFGSLineSearch:   18[ 26] 12:49:35   -39682.549277*       0.2015
BFGSLineSearch:   19[ 27] 12:56:52   -39682.550687*       0.2209
BFGSLineSearch:   20[ 28] 13:05:13   -39682.552600*       0.1546
BFGSLineSearch:   21[ 29] 13:13:21   -39682.554293*       0.1006
BFGSLineSearch:   22[ 30] 13:21:08   -39682.556203*       0.1283
BFGSLineSearch:   23[ 31] 13:29:48   -39682.558180*       0.1814
BFGSLineSearch:   24[ 32] 13:36:40   -39682.560160*       0.1413
BFGSLineSearch:   25[ 34] 13:53:06   -39682.561624*       0.2132
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:13:05   -39682.561630*       0.2151
BFGSLineSearch:    1[  1] 16:20:09   -39682.563031*       0.1276
BFGSLineSearch:    2[  4] 16:43:01   -39682.564490*       0.2246
BFGSLineSearch:    3[  5] 16:52:36   -39682.565303*       0.0569
BFGSLineSearch:    4[  6] 16:59:39   -39682.565709*       0.0670
BFGSLineSearch:    5[  7] 17:06:58   -39682.566042*       0.0271
