                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 22:12:35   -40020.337553*       1.7292
BFGSLineSearch:    1[  2] 22:37:55   -40020.432990*       0.8795
BFGSLineSearch:    2[  4] 23:00:29   -40020.506747*       1.0133
BFGSLineSearch:    3[  6] 23:23:47   -40020.583243*       1.0681
BFGSLineSearch:    4[  8] 23:51:09   -40020.636564*       0.9849
BFGSLineSearch:    5[ 10] 00:20:17   -40020.682233*       0.8863
BFGSLineSearch:    6[ 12] 00:48:11   -40020.715739*       1.2008
BFGSLineSearch:    7[ 14] 01:15:29   -40020.753098*       1.2660
BFGSLineSearch:    8[ 16] 01:41:48   -40020.788261*       0.9398
BFGSLineSearch:    9[ 18] 02:03:00   -40020.827622*       0.6613
BFGSLineSearch:   10[ 20] 02:29:45   -40020.866629*       0.7085
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 11:49:47   -40020.866636*       0.7130
BFGSLineSearch:    1[  2] 12:15:51   -40020.888724*       0.3530
BFGSLineSearch:    2[  3] 12:27:44   -40020.940011*       0.8380
BFGSLineSearch:    3[  5] 13:03:52   -40020.958714*       0.7364
BFGSLineSearch:    4[  7] 13:29:34   -40020.974179*       0.6588
BFGSLineSearch:    5[  9] 14:04:09   -40020.987855*       0.3615
BFGSLineSearch:    6[ 10] 14:14:54   -40020.996210*       0.3851
BFGSLineSearch:    7[ 12] 14:35:47   -40021.002051*       0.2392
BFGSLineSearch:    8[ 14] 14:53:49   -40021.006104*       0.3021
BFGSLineSearch:    9[ 15] 15:04:06   -40021.010022*       0.0920
BFGSLineSearch:   10[ 16] 15:15:20   -40021.011718*       0.1888
BFGSLineSearch:   11[ 17] 15:26:24   -40021.016213*       0.1733
BFGSLineSearch:   12[ 18] 15:35:07   -40021.019718*       0.1744
BFGSLineSearch:   13[ 19] 15:46:13   -40021.023425*       0.3047
BFGSLineSearch:   14[ 20] 15:57:17   -40021.028040*       0.2981
