                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 03:29:29   -40004.059933*       2.2584
BFGSLineSearch:    1[  2] 03:56:02   -40004.239729*       0.9688
BFGSLineSearch:    2[  4] 04:21:38   -40004.297900*       0.8951
BFGSLineSearch:    3[  6] 04:52:56   -40004.330282*       0.6870
BFGSLineSearch:    4[  8] 05:17:27   -40004.357384*       0.7290
BFGSLineSearch:    5[  9] 05:36:22   -40004.394146*       1.3707
BFGSLineSearch:    6[ 11] 06:10:00   -40004.439413*       1.7206
BFGSLineSearch:    7[ 12] 06:29:13   -40004.538489*       1.6340
BFGSLineSearch:    8[ 14] 06:59:27   -40004.652588*       1.2799
BFGSLineSearch:    9[ 16] 07:23:20   -40004.727834*       1.1904
BFGSLineSearch:   10[ 17] 07:36:34   -40004.850082*       1.2093
BFGSLineSearch:   11[ 18] 07:51:08   -40004.953534*       1.9630
BFGSLineSearch:   12[ 20] 08:10:59   -40005.068181*       1.7245
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 11:42:54   -40005.068208*       1.7237
BFGSLineSearch:    1[  2] 12:14:43   -40005.105416*       1.3498
BFGSLineSearch:    2[  3] 12:29:25   -40005.188692*       1.7013
BFGSLineSearch:    3[  5] 12:59:22   -40005.283835*       1.0890
BFGSLineSearch:    4[  6] 13:11:55   -40005.319399*       0.8512
BFGSLineSearch:    5[  8] 13:34:34   -40005.364221*       0.5632
BFGSLineSearch:    6[ 10] 13:57:22   -40005.387095*       0.3937
BFGSLineSearch:    7[ 11] 14:09:36   -40005.402386*       0.4108
BFGSLineSearch:    8[ 12] 14:24:40   -40005.420158*       0.4655
BFGSLineSearch:    9[ 13] 14:34:52   -40005.428052*       0.3266
BFGSLineSearch:   10[ 15] 14:52:38   -40005.434778*       0.1571
BFGSLineSearch:   11[ 17] 15:10:16   -40005.437799*       0.2132
BFGSLineSearch:   12[ 18] 15:20:52   -40005.440366*       0.1789
BFGSLineSearch:   13[ 19] 15:29:33   -40005.443406*       0.2340
BFGSLineSearch:   14[ 20] 15:37:10   -40005.445787*       0.1417
BFGSLineSearch:   15[ 21] 15:45:22   -40005.449105*       0.0749
BFGSLineSearch:   16[ 22] 15:53:49   -40005.452623*       0.1749
BFGSLineSearch:   17[ 23] 16:03:00   -40005.455630*       0.1802
BFGSLineSearch:   18[ 24] 16:11:40   -40005.459108*       0.1477
BFGSLineSearch:   19[ 25] 16:22:21   -40005.462283*       0.1578
BFGSLineSearch:   20[ 26] 16:30:23   -40005.464771*       0.1200
BFGSLineSearch:   21[ 27] 16:37:28   -40005.466347*       0.1013
BFGSLineSearch:   22[ 28] 16:45:23   -40005.468768*       0.0921
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 20:27:13   -40005.468722*       0.0916
BFGSLineSearch:    1[  1] 20:35:22   -40005.470052*       0.1052
BFGSLineSearch:    2[  4] 21:05:08   -40005.475557*       0.2750
BFGSLineSearch:    3[  6] 21:27:40   -40005.478749*       0.2363
BFGSLineSearch:    4[  7] 21:39:10   -40005.483016*       0.2063
BFGSLineSearch:    5[  9] 22:01:50   -40005.487806*       0.3134
BFGSLineSearch:    6[ 11] 22:27:31   -40005.497783*       0.2996
BFGSLineSearch:    7[ 12] 22:36:43   -40005.508213*       0.4069
BFGSLineSearch:    8[ 13] 22:46:25   -40005.520840*       0.1555
BFGSLineSearch:    9[ 15] 23:09:38   -40005.525160*       0.2920
BFGSLineSearch:   10[ 17] 23:30:07   -40005.536830*       0.2749
BFGSLineSearch:   11[ 18] 23:38:38   -40005.547214*       0.3531
BFGSLineSearch:   12[ 19] 23:47:02   -40005.558578*       0.6128
BFGSLineSearch:   13[ 20] 23:56:29   -40005.568139*       0.3865
BFGSLineSearch:   14[ 21] 00:04:57   -40005.572416*       0.1869
BFGSLineSearch:   15[ 22] 00:12:43   -40005.576486*       0.3052
BFGSLineSearch:   16[ 23] 00:21:41   -40005.580399*       0.3045
BFGSLineSearch:   17[ 24] 00:29:55   -40005.584866*       0.1559
BFGSLineSearch:   18[ 25] 00:37:16   -40005.588514*       0.2872
BFGSLineSearch:   19[ 26] 00:46:54   -40005.592510*       0.1764
BFGSLineSearch:   20[ 28] 01:03:28   -40005.594852*       0.1219
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:55:56   -40005.594847*       0.1214
BFGSLineSearch:    1[  2] 10:12:10   -40005.595816*       0.1199
BFGSLineSearch:    2[  3] 10:20:45   -40005.598056*       0.0975
BFGSLineSearch:    3[  4] 10:28:12   -40005.599826*       0.0715
BFGSLineSearch:    4[  5] 10:35:02   -40005.600813*       0.0583
BFGSLineSearch:    5[  6] 10:42:01   -40005.601847*       0.0520
BFGSLineSearch:    6[  7] 10:48:26   -40005.602843*       0.0819
BFGSLineSearch:    7[  8] 10:55:32   -40005.603988*       0.1165
BFGSLineSearch:    8[  9] 11:01:28   -40005.604701*       0.1120
BFGSLineSearch:    9[ 10] 11:08:39   -40005.605691*       0.1007
BFGSLineSearch:   10[ 12] 11:22:35   -40005.606803*       0.0581
BFGSLineSearch:   11[ 13] 11:29:31   -40005.607702*       0.0498
