                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 18:19:34   -40422.390152*       8.6642
BFGSLineSearch:    1[  1] 18:28:40   -40423.707349*      10.0328
BFGSLineSearch:    2[  2] 18:38:13   -40425.422606*       6.1362
BFGSLineSearch:    3[  3] 18:49:43   -40426.524560*       3.0606
BFGSLineSearch:    4[  4] 19:00:05   -40427.322875*       4.8348
BFGSLineSearch:    5[  5] 19:11:02   -40427.908229*       3.2118
BFGSLineSearch:    6[  7] 19:31:59   -40428.317612*       5.1148
BFGSLineSearch:    7[  9] 19:50:30   -40428.801847*       3.8891
BFGSLineSearch:    8[ 11] 20:08:57   -40429.066256*       1.1880
BFGSLineSearch:    9[ 12] 20:19:43   -40429.190960*       2.1325
BFGSLineSearch:   10[ 14] 20:41:30   -40429.287814*       2.1374
BFGSLineSearch:   11[ 15] 20:52:18   -40429.347732*       1.1191
BFGSLineSearch:   12[ 17] 21:10:36   -40429.398392*       1.0227
BFGSLineSearch:   13[ 18] 21:22:27   -40429.447288*       1.1595
BFGSLineSearch:   14[ 19] 21:30:56   -40429.493711*       1.1628
BFGSLineSearch:   15[ 21] 21:49:42   -40429.521982*       0.5603
BFGSLineSearch:   16[ 23] 22:06:16   -40429.545782*       0.5290
BFGSLineSearch:   17[ 24] 22:15:12   -40429.566854*       1.3820
BFGSLineSearch:   18[ 25] 22:23:28   -40429.589811*       0.4297
BFGSLineSearch:   19[ 26] 22:32:04   -40429.611175*       0.4420
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 22:52:23   -40422.390176*       8.6642
BFGSLineSearch:    1[  2] 23:18:51   -40424.922959*      11.8061
BFGSLineSearch:    2[  3] 23:35:04   -40426.634439*       5.4413
BFGSLineSearch:    3[  5] 23:59:14   -40428.162948*       6.9246
BFGSLineSearch:    4[  6] 00:11:28   -40428.801759*       4.5005
BFGSLineSearch:    5[  7] 00:21:48   -40429.190597*       2.2862
BFGSLineSearch:    6[  9] 00:43:43   -40429.464826*       3.5846
BFGSLineSearch:    7[ 11] 01:03:28   -40429.590682*       1.4426
BFGSLineSearch:    8[ 13] 01:21:27   -40429.627114*       0.5204
BFGSLineSearch:    9[ 14] 01:30:50   -40429.647929*       0.8429
BFGSLineSearch:   10[ 15] 01:38:42   -40429.662324*       0.4375
BFGSLineSearch:   11[ 16] 01:47:07   -40429.669694*       0.3232
BFGSLineSearch:   12[ 17] 01:55:49   -40429.680710*       0.2965
BFGSLineSearch:   13[ 18] 02:03:59   -40429.690919*       0.4774
BFGSLineSearch:   14[ 19] 02:13:37   -40429.701815*       0.4609
BFGSLineSearch:   15[ 20] 02:23:30   -40429.711075*       0.1562
BFGSLineSearch:   16[ 21] 02:30:58   -40429.719658*       0.3510
BFGSLineSearch:   17[ 22] 02:41:01   -40429.724273*       0.4422
BFGSLineSearch:   18[ 23] 02:51:03   -40429.729767*       0.2015
BFGSLineSearch:   19[ 24] 02:58:24   -40429.734159*       0.1682
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 08:50:08   -40422.390165*       8.6642
BFGSLineSearch:    1[  2] 09:16:08   -40423.957151*      11.8939
BFGSLineSearch:    2[  4] 09:42:39   -40425.775186*       6.5759
BFGSLineSearch:    3[  6] 10:02:13   -40426.951431*       5.4652
BFGSLineSearch:    4[  7] 10:13:35   -40427.987765*       8.1675
BFGSLineSearch:    5[  8] 10:25:28   -40428.763169*       3.8957
BFGSLineSearch:    6[ 10] 10:53:58   -40429.199270*       2.1826
BFGSLineSearch:    7[ 11] 11:04:34   -40429.343598*       1.8604
BFGSLineSearch:    8[ 12] 11:15:45   -40429.450713*       1.1059
BFGSLineSearch:    9[ 13] 11:26:47   -40429.522889*       0.7325
BFGSLineSearch:   10[ 14] 11:38:37   -40429.577439*       0.4625
BFGSLineSearch:   11[ 15] 11:48:54   -40429.621638*       0.6922
BFGSLineSearch:   12[ 16] 12:00:10   -40429.643187*       0.6721
BFGSLineSearch:   13[ 17] 12:12:45   -40429.665154*       0.7103
