                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 11:51:49   -40459.410117*      10.3905
BFGSLineSearch:    1[  2] 12:35:17   -40459.873843*       2.8542
BFGSLineSearch:    2[  3] 12:55:36   -40460.420735*       3.7377
BFGSLineSearch:    3[  4] 13:11:47   -40460.954731*       2.1653
BFGSLineSearch:    4[  6] 13:50:56   -40461.220048*       2.7391
BFGSLineSearch:    5[  8] 14:30:05   -40461.464603*       3.5534
BFGSLineSearch:    6[ 10] 15:04:10   -40461.602549*       3.7863
BFGSLineSearch:    7[ 12] 15:37:31   -40461.779027*       2.5030
BFGSLineSearch:    8[ 14] 16:11:47   -40461.895985*       1.2613
BFGSLineSearch:    9[ 16] 16:47:28   -40462.015254*       0.9363
BFGSLineSearch:   10[ 18] 17:19:31   -40462.101427*       0.4821
BFGSLineSearch:   11[ 20] 17:51:33   -40462.142083*       0.7367
BFGSLineSearch:   12[ 22] 18:20:09   -40462.166488*       0.5698
BFGSLineSearch:   13[ 23] 18:35:10   -40462.195740*       0.5969
BFGSLineSearch:   14[ 24] 18:47:38   -40462.220826*       0.6985
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:32:01   -40462.220830*       0.6989
BFGSLineSearch:    1[  2] 10:04:14   -40462.232681*       0.5726
BFGSLineSearch:    2[  4] 10:29:22   -40462.246122*       0.7867
BFGSLineSearch:    3[  5] 10:43:15   -40462.269214*       0.4215
BFGSLineSearch:    4[  6] 10:58:25   -40462.308040*       0.4744
BFGSLineSearch:    5[  7] 11:16:18   -40462.336171*       0.4172
BFGSLineSearch:    6[  9] 11:42:18   -40462.359078*       0.4543
BFGSLineSearch:    7[ 10] 11:56:25   -40462.382881*       0.4057
BFGSLineSearch:    8[ 12] 12:24:21   -40462.406368*       0.3800
BFGSLineSearch:    9[ 13] 12:41:07   -40462.429808*       0.8745
BFGSLineSearch:   10[ 14] 12:55:31   -40462.463346*       0.4152
BFGSLineSearch:   11[ 15] 13:12:53   -40462.489597*       0.4109
BFGSLineSearch:   12[ 17] 13:46:28   -40462.532943*       1.0157
BFGSLineSearch:   13[ 18] 14:03:24   -40462.593400*       0.7728
BFGSLineSearch:   14[ 20] 14:35:26   -40462.622985*       0.8174
BFGSLineSearch:   15[ 22] 15:05:27   -40462.676349*       0.5458
BFGSLineSearch:   16[ 24] 15:35:37   -40462.729406*       0.7073
BFGSLineSearch:   17[ 25] 15:53:27   -40462.782868*       0.5894
BFGSLineSearch:   18[ 26] 16:08:53   -40462.825854*       0.5615
BFGSLineSearch:   19[ 28] 16:33:54   -40462.852442*       0.4435
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 22:32:36   -40459.410117*      10.3928
BFGSLineSearch:    1[  1] 22:47:57   -40460.000096*       5.0680
BFGSLineSearch:    2[  2] 22:59:52   -40460.398463*       2.1453
BFGSLineSearch:    3[  4] 23:23:54   -40460.543259*       1.9574
BFGSLineSearch:    4[  6] 23:55:24   -40460.736220*       1.6080
BFGSLineSearch:    5[  7] 00:09:34   -40460.962613*       2.5444
BFGSLineSearch:    6[  8] 00:28:27   -40461.075641*       1.0271
BFGSLineSearch:    7[ 10] 00:58:40   -40461.135363*       0.8715
BFGSLineSearch:    8[ 14] 01:59:49   -40461.404993*       2.5340
BFGSLineSearch:    9[ 16] 02:26:31   -40461.477771*       3.4477
BFGSLineSearch:   10[ 17] 02:38:44   -40461.861791*       3.0753
BFGSLineSearch:   11[ 18] 02:56:54   -40462.223241*       1.0904
BFGSLineSearch:   12[ 20] 03:21:38   -40462.360681*       0.8991
BFGSLineSearch:   13[ 21] 03:36:12   -40462.412642*       0.9169
BFGSLineSearch:   14[ 22] 03:49:16   -40462.468056*       0.9069
BFGSLineSearch:   15[ 23] 04:02:25   -40462.547321*       1.0905
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
