---------------------
  #    meV     cm^-1
---------------------
  0   13.3i    107.6i
  1    9.1      73.6
  2   14.5     116.8
  3   15.3     123.7
  4   17.2     138.8
  5   21.4     172.2
  6   21.8     175.5
  7   24.2     194.9
  8   29.5     237.7
  9   36.2     291.7
 10   41.7     336.3
 11   60.2     485.8
 12   62.3     502.3
 13   75.4     607.9
 14  105.6     851.4
 15  126.0    1016.0
 16  139.1    1122.2
 17  169.2    1364.4
 18  180.3    1454.5
 19  180.6    1457.0
 20  196.7    1586.6
 21  199.1    1605.5
 22  368.3    2970.4
 23  378.9    3056.4
 24  380.5    3069.0
 25  464.1    3743.0
 26  476.7    3844.7
---------------------
Zero-point energy: 1.897 eV
