                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 12:00:17   -40458.359218*      10.6184
BFGSLineSearch:    1[  2] 12:45:09   -40458.909192*       2.9084
BFGSLineSearch:    2[  3] 13:03:22   -40459.578025*       3.8957
BFGSLineSearch:    3[  4] 13:22:58   -40460.304702*       4.0384
BFGSLineSearch:    4[  5] 13:39:28   -40460.795886*       3.6293
BFGSLineSearch:    5[  7] 14:14:52   -40461.578288*       4.0560
BFGSLineSearch:    6[  9] 14:50:26   -40461.949218*       2.6053
BFGSLineSearch:    7[ 11] 15:28:00   -40462.091769*       1.7264
BFGSLineSearch:    8[ 13] 16:06:35   -40462.225069*       1.7448
BFGSLineSearch:    9[ 15] 16:45:08   -40462.322520*       1.2872
BFGSLineSearch:   10[ 17] 17:23:59   -40462.390272*       0.6882
BFGSLineSearch:   11[ 19] 17:56:13   -40462.454398*       1.2615
BFGSLineSearch:   12[ 21] 18:25:25   -40462.508349*       0.6566
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:34:03   -40462.508357*       0.6588
BFGSLineSearch:    1[  2] 10:00:56   -40462.528510*       0.8270
BFGSLineSearch:    2[  4] 10:25:43   -40462.556676*       0.8573
BFGSLineSearch:    3[  6] 10:56:55   -40462.600134*       0.5820
BFGSLineSearch:    4[  8] 11:22:51   -40462.628560*       0.5458
BFGSLineSearch:    5[ 10] 11:49:45   -40462.655871*       0.5429
BFGSLineSearch:    6[ 12] 12:15:53   -40462.681841*       0.3241
BFGSLineSearch:    7[ 13] 12:30:18   -40462.708943*       0.3851
BFGSLineSearch:    8[ 15] 12:59:23   -40462.727665*       0.2839
BFGSLineSearch:    9[ 16] 13:15:15   -40462.747735*       0.3552
BFGSLineSearch:   10[ 17] 13:31:48   -40462.765594*       0.6996
BFGSLineSearch:   11[ 18] 13:46:19   -40462.784657*       0.4743
BFGSLineSearch:   12[ 19] 14:03:22   -40462.807688*       0.3155
BFGSLineSearch:   13[ 21] 14:29:21   -40462.824359*       0.4113
BFGSLineSearch:   14[ 22] 14:44:33   -40462.842133*       0.5918
BFGSLineSearch:   15[ 23] 15:10:48   -40462.860250*       0.3862
BFGSLineSearch:   16[ 24] 15:29:17   -40462.879477*       0.3556
BFGSLineSearch:   17[ 25] 15:42:21   -40462.905123*       0.2784
BFGSLineSearch:   18[ 26] 15:57:47   -40462.926699*       0.3452
BFGSLineSearch:   19[ 27] 16:14:11   -40462.954902*       0.5713
BFGSLineSearch:   20[ 28] 16:29:01   -40462.984150*       0.6185
BFGSLineSearch:   21[ 29] 16:47:34   -40463.016821*       0.8970
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 22:31:03   -40458.359234*      10.6216
BFGSLineSearch:    1[  1] 22:43:51   -40459.104255*       2.5164
BFGSLineSearch:    2[  2] 23:09:12   -40459.701817*       2.7096
BFGSLineSearch:    3[  4] 23:37:29   -40460.132714*       4.6837
BFGSLineSearch:    4[  7] 00:17:11   -40461.044575*       2.1759
BFGSLineSearch:    5[  9] 00:41:32   -40461.371419*       1.8845
BFGSLineSearch:    6[ 10] 00:58:07   -40462.064370*       1.7207
BFGSLineSearch:    7[ 12] 01:22:44   -40462.321224*       1.4395
BFGSLineSearch:    8[ 13] 01:35:38   -40462.477923*       0.5629
BFGSLineSearch:    9[ 14] 01:48:52   -40462.597750*       1.1174
BFGSLineSearch:   10[ 16] 02:13:54   -40462.713023*       1.9248
BFGSLineSearch:   11[ 18] 02:37:14   -40462.805307*       2.6061
BFGSLineSearch:   12[ 19] 02:48:13   -40462.906935*       1.5825
BFGSLineSearch:   13[ 20] 03:01:10   -40462.965336*       1.1304
BFGSLineSearch:   14[ 21] 03:13:01   -40463.020826*       0.8147
BFGSLineSearch:   15[ 22] 03:24:41   -40463.072859*       0.7399
BFGSLineSearch:   16[ 23] 03:37:26   -40463.110872*       0.9083
BFGSLineSearch:   17[ 24] 04:00:16   -40463.167347*       0.7961
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:42:55   -40463.167303*       0.7969
BFGSLineSearch:    1[  2] 09:58:01   -40463.196071*       0.5872
BFGSLineSearch:    2[  3] 10:05:38   -40463.224972*       0.4347
BFGSLineSearch:    3[  4] 10:13:20   -40463.260033*       0.6905
BFGSLineSearch:    4[  5] 10:19:11   -40463.282024*       0.5389
BFGSLineSearch:    5[  6] 10:25:17   -40463.298209*       0.3844
BFGSLineSearch:    6[  7] 10:31:41   -40463.313905*       0.5285
BFGSLineSearch:    7[  8] 10:37:34   -40463.328234*       0.4367
BFGSLineSearch:    8[  9] 10:43:02   -40463.335598*       0.2099
BFGSLineSearch:    9[ 10] 10:48:38   -40463.341964*       0.2565
BFGSLineSearch:   10[ 11] 10:54:27   -40463.346749*       0.1500
BFGSLineSearch:   11[ 12] 11:01:12   -40463.351698*       0.1457
BFGSLineSearch:   12[ 13] 11:07:43   -40463.356657*       0.1197
BFGSLineSearch:   13[ 14] 11:13:27   -40463.359754*       0.1967
BFGSLineSearch:   14[ 15] 11:19:31   -40463.363117*       0.0982
BFGSLineSearch:   15[ 16] 11:23:55   -40463.365389*       0.0566
BFGSLineSearch:   16[ 17] 11:28:36   -40463.367130*       0.0633
BFGSLineSearch:   17[ 18] 11:34:05   -40463.367947*       0.0530
BFGSLineSearch:   18[ 19] 11:38:55   -40463.368615*       0.0415
