                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 11:47:19   -40443.693489*       8.9392
BFGSLineSearch:    1[  2] 12:22:31   -40443.995963*       2.4627
BFGSLineSearch:    2[  4] 13:01:22   -40444.284789*       2.0054
BFGSLineSearch:    3[  6] 13:35:26   -40444.412141*       1.6974
BFGSLineSearch:    4[  9] 14:21:55   -40444.590623*       3.5117
BFGSLineSearch:    5[ 11] 14:59:24   -40444.677584*       4.1323
BFGSLineSearch:    6[ 12] 15:15:29   -40444.863703*       3.4694
BFGSLineSearch:    7[ 14] 15:52:59   -40445.026303*       1.7585
BFGSLineSearch:    8[ 15] 16:16:29   -40445.131985*       1.2757
BFGSLineSearch:    9[ 17] 16:46:52   -40445.240682*       0.5987
BFGSLineSearch:   10[ 19] 17:13:49   -40445.298070*       0.5919
BFGSLineSearch:   11[ 21] 17:43:18   -40445.322066*       0.6151
BFGSLineSearch:   12[ 23] 18:08:23   -40445.340556*       0.4889
BFGSLineSearch:   13[ 25] 18:37:27   -40445.351377*       0.5259
BFGSLineSearch:   14[ 27] 19:19:08   -40445.368352*       0.6160
BFGSLineSearch:   15[ 28] 19:41:09   -40445.386510*       0.8703
BFGSLineSearch:   16[ 29] 19:59:51   -40445.427851*       0.8480
BFGSLineSearch:   17[ 31] 20:35:09   -40445.463600*       0.4989
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:33:33   -40445.463598*       0.5004
BFGSLineSearch:    1[  2] 10:04:02   -40445.479457*       0.4845
BFGSLineSearch:    2[  3] 10:27:52   -40445.507141*       0.4835
BFGSLineSearch:    3[  5] 11:04:49   -40445.536327*       0.6783
BFGSLineSearch:    4[  6] 11:25:39   -40445.562737*       0.5654
BFGSLineSearch:    5[  7] 11:53:09   -40445.599864*       0.3762
BFGSLineSearch:    6[  9] 12:29:42   -40445.637947*       0.8877
BFGSLineSearch:    7[ 10] 12:53:45   -40445.695319*       0.4349
BFGSLineSearch:    8[ 11] 13:16:52   -40445.729641*       1.6013
BFGSLineSearch:    9[ 13] 13:45:52   -40445.773860*       0.5860
BFGSLineSearch:   10[ 14] 14:14:22   -40445.836603*       1.2975
BFGSLineSearch:   11[ 15] 14:31:29   -40445.928461*       0.6995
BFGSLineSearch:   12[ 16] 14:45:45   -40446.026159*       0.7217
BFGSLineSearch:   13[ 18] 15:29:10   -40446.082310*       0.9293
BFGSLineSearch:   14[ 19] 15:45:37   -40446.128051*       0.4552
BFGSLineSearch:   15[ 21] 16:22:43   -40446.160004*       0.4748
BFGSLineSearch:   16[ 23] 16:47:04   -40446.179962*       0.3190
BFGSLineSearch:   17[ 25] 17:16:51   -40446.197869*       0.2948
BFGSLineSearch:   18[ 26] 17:35:06   -40446.216929*       0.2736
BFGSLineSearch:   19[ 27] 17:46:41   -40446.231991*       0.2466
BFGSLineSearch:   20[ 28] 17:58:37   -40446.243256*       0.2442
BFGSLineSearch:   21[ 29] 18:13:16   -40446.251809*       0.1741
BFGSLineSearch:   22[ 30] 18:27:05   -40446.261640*       0.2800
BFGSLineSearch:   23[ 31] 18:39:17   -40446.269272*       0.1985
BFGSLineSearch:   24[ 32] 18:55:21   -40446.275741*       0.3184
BFGSLineSearch:   25[ 33] 19:09:04   -40446.281292*       0.1404
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 22:33:24   -40443.693499*       8.9408
BFGSLineSearch:    1[  1] 22:45:32   -40443.994514*       4.0768
BFGSLineSearch:    2[  3] 23:21:55   -40444.223704*       2.2331
BFGSLineSearch:    3[  5] 23:57:08   -40444.378818*       1.2788
BFGSLineSearch:    4[  7] 00:22:32   -40444.425107*       0.6324
BFGSLineSearch:    5[  8] 00:40:37   -40444.471850*       1.0055
BFGSLineSearch:    6[ 12] 01:44:40   -40444.685803*       2.3175
BFGSLineSearch:    7[ 14] 02:12:02   -40444.739877*       2.1269
BFGSLineSearch:    8[ 15] 02:30:54   -40445.031230*       2.3216
BFGSLineSearch:    9[ 16] 02:45:56   -40445.446537*       1.5499
BFGSLineSearch:   10[ 17] 03:01:17   -40445.595282*       0.6330
BFGSLineSearch:   11[ 18] 03:13:02   -40445.675423*       0.6376
BFGSLineSearch:   12[ 19] 03:23:50   -40445.741140*       0.7094
BFGSLineSearch:   13[ 20] 03:37:08   -40445.784514*       1.0121
BFGSLineSearch:   14[ 21] 03:48:22   -40445.818652*       1.1306
BFGSLineSearch:   15[ 23] 04:08:26   -40445.876806*       1.5143
BFGSLineSearch:   16[ 25] 04:32:35   -40445.939884*       0.6706
BFGSLineSearch:   17[ 26] 04:42:05   -40445.978823*       0.9764
BFGSLineSearch:   18[ 27] 04:51:07   -40446.024147*       0.6139
BFGSLineSearch:   19[ 28] 05:01:49   -40446.052139*       0.4097
BFGSLineSearch:   20[ 30] 05:24:51   -40446.082906*       0.5288
BFGSLineSearch:   21[ 31] 05:36:03   -40446.116010*       0.7497
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:44:44   -40446.115989*       0.7489
BFGSLineSearch:    1[  2] 09:55:31   -40446.125520*       0.4024
BFGSLineSearch:    2[  3] 10:00:22   -40446.135763*       0.2986
BFGSLineSearch:    3[  4] 10:06:23   -40446.146859*       0.4101
BFGSLineSearch:    4[  5] 10:10:49   -40446.151048*       0.2160
BFGSLineSearch:    5[  6] 10:15:29   -40446.156159*       0.5167
BFGSLineSearch:    6[  7] 10:20:39   -40446.163336*       0.3255
