                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 11:46:58   -40441.066440*       9.4649
BFGSLineSearch:    1[  2] 12:20:31   -40441.580952*       3.7559
BFGSLineSearch:    2[  3] 12:44:14   -40442.565583*       6.9040
BFGSLineSearch:    3[  5] 13:18:42   -40443.040248*       3.4812
BFGSLineSearch:    4[  6] 13:39:47   -40443.839415*       2.4390
BFGSLineSearch:    5[  8] 14:10:29   -40444.258988*       3.4029
BFGSLineSearch:    6[ 10] 14:49:50   -40444.703295*       4.1929
BFGSLineSearch:    7[ 12] 15:22:36   -40444.960401*       2.4155
BFGSLineSearch:    8[ 14] 16:10:57   -40445.090819*       1.1002
BFGSLineSearch:    9[ 16] 16:45:05   -40445.277426*       1.0076
BFGSLineSearch:   10[ 18] 17:17:53   -40445.382891*       0.5803
BFGSLineSearch:   11[ 20] 17:47:19   -40445.448146*       0.4408
BFGSLineSearch:   12[ 22] 18:27:29   -40445.472481*       0.5364
BFGSLineSearch:   13[ 24] 18:57:34   -40445.502290*       0.5315
BFGSLineSearch:   14[ 26] 19:30:39   -40445.522251*       0.7015
BFGSLineSearch:   15[ 27] 19:42:59   -40445.540291*       0.6009
BFGSLineSearch:   16[ 28] 19:57:49   -40445.567607*       0.4566
BFGSLineSearch:   17[ 30] 20:32:52   -40445.587911*       0.4893
BFGSLineSearch:   18[ 31] 20:50:29   -40445.614426*       0.4561
BFGSLineSearch:   19[ 32] 21:04:27   -40445.638664*       1.0198
BFGSLineSearch:   20[ 33] 21:21:08   -40445.671766*       0.4515
BFGSLineSearch:   21[ 34] 21:35:52   -40445.696061*       0.3654
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:28:09   -40445.696056*       0.3647
BFGSLineSearch:    1[  2] 09:58:45   -40445.712113*       0.5433
BFGSLineSearch:    2[  4] 10:27:08   -40445.739446*       0.2995
BFGSLineSearch:    3[  6] 11:00:33   -40445.778569*       0.8726
BFGSLineSearch:    4[  7] 11:26:33   -40445.825047*       0.6118
BFGSLineSearch:    5[  8] 11:42:42   -40445.880330*       1.0240
BFGSLineSearch:    6[ 10] 12:16:10   -40445.919648*       0.3097
BFGSLineSearch:    7[ 11] 12:44:07   -40445.983408*       0.9359
BFGSLineSearch:    8[ 12] 13:00:51   -40446.037558*       0.9702
BFGSLineSearch:    9[ 13] 13:17:04   -40446.101694*       0.7011
BFGSLineSearch:   10[ 14] 13:30:19   -40446.153177*       0.8660
BFGSLineSearch:   11[ 16] 14:05:06   -40446.196328*       0.5633
BFGSLineSearch:   12[ 18] 14:37:46   -40446.227554*       0.3457
BFGSLineSearch:   13[ 20] 15:13:26   -40446.252669*       0.3961
BFGSLineSearch:   14[ 22] 15:41:34   -40446.270718*       0.2388
BFGSLineSearch:   15[ 23] 15:54:23   -40446.287488*       0.3908
BFGSLineSearch:   16[ 24] 16:09:35   -40446.304496*       0.3828
BFGSLineSearch:   17[ 25] 16:27:24   -40446.320999*       0.2286
BFGSLineSearch:   18[ 26] 16:38:24   -40446.336180*       0.2305
BFGSLineSearch:   19[ 27] 16:50:45   -40446.351053*       0.3715
BFGSLineSearch:   20[ 28] 17:04:46   -40446.368055*       0.3951
BFGSLineSearch:   21[ 29] 17:17:54   -40446.379884*       0.4379
BFGSLineSearch:   22[ 30] 17:41:16   -40446.388789*       0.4087
BFGSLineSearch:   23[ 31] 17:56:38   -40446.395989*       0.1792
BFGSLineSearch:   24[ 32] 18:07:54   -40446.400664*       0.1488
BFGSLineSearch:   25[ 33] 18:20:17   -40446.403315*       0.1467
BFGSLineSearch:   26[ 34] 18:32:19   -40446.405331*       0.0973
BFGSLineSearch:   27[ 35] 18:44:10   -40446.407041*       0.0612
BFGSLineSearch:   28[ 36] 18:52:20   -40446.407990*       0.0472
