---------------------
  #    meV     cm^-1
---------------------
  0    2.2i     17.4i
  1   11.5      92.9
  2   15.1     121.6
  3   19.6     158.5
  4   19.9     160.9
  5   23.2     186.8
  6   26.7     215.1
  7   32.3     260.9
  8   40.0     322.3
  9   42.8     344.9
 10   70.2     566.6
 11   72.4     584.3
 12   80.9     652.5
 13  103.0     831.0
 14  127.6    1028.9
 15  137.9    1112.6
 16  169.8    1369.8
 17  179.2    1445.7
 18  180.7    1457.5
 19  210.3    1695.9
 20  369.8    2982.8
 21  380.4    3067.9
 22  384.8    3104.0
 23  464.5    3746.8
---------------------
Zero-point energy: 1.581 eV
