---------------------
  #    meV     cm^-1
---------------------
  0   12.2i     98.2i
  1    5.2i     41.8i
  2    1.7i     14.0i
  3    4.4      35.2
  4    6.1      49.4
  5    7.7      62.1
  6    8.9      71.8
  7    9.3      74.7
  8   19.1     154.4
  9   39.8     320.7
 10   47.2     380.7
 11   59.7     481.9
 12  125.4    1011.8
 13  131.9    1063.8
 14  133.3    1075.1
 15  138.3    1115.2
 16  175.2    1413.4
 17  180.4    1454.9
 18  180.8    1458.2
 19  204.9    1652.9
 20  205.1    1654.1
 21  360.5    2907.3
 22  367.6    2964.7
 23  371.5    2996.4
 24  423.9    3418.9
 25  440.3    3551.1
 26  440.6    3553.4
---------------------
Zero-point energy: 2.041 eV
