                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 00:30:43   -40409.342168*       6.4855
BFGSLineSearch:    1[  1] 00:42:42   -40410.840547*       6.1639
BFGSLineSearch:    2[  2] 00:52:08   -40411.555778*       2.2283
BFGSLineSearch:    3[  4] 01:16:01   -40411.650720*       1.8144
BFGSLineSearch:    4[  6] 01:36:10   -40411.711028*       1.5569
BFGSLineSearch:    5[  8] 01:58:43   -40411.819013*       0.8187
BFGSLineSearch:    6[ 10] 02:15:01   -40411.859092*       0.7863
BFGSLineSearch:    7[ 12] 02:34:07   -40411.877871*       0.6028
BFGSLineSearch:    8[ 14] 02:49:49   -40411.893958*       0.3570
BFGSLineSearch:    9[ 16] 03:04:24   -40411.901708*       0.2126
BFGSLineSearch:   10[ 18] 03:17:59   -40411.909493*       0.2723
BFGSLineSearch:   11[ 20] 03:30:34   -40411.914535*       0.2076
BFGSLineSearch:   12[ 21] 03:37:26   -40411.919049*       0.1811
BFGSLineSearch:   13[ 23] 03:52:01   -40411.922519*       0.1522
BFGSLineSearch:   14[ 24] 03:58:40   -40411.925848*       0.2322
BFGSLineSearch:   15[ 25] 04:07:05   -40411.929216*       0.1760
BFGSLineSearch:   16[ 26] 04:14:11   -40411.933949*       0.2183
BFGSLineSearch:   17[ 27] 04:21:55   -40411.942709*       0.1669
BFGSLineSearch:   18[ 29] 04:34:57   -40411.948734*       0.1774
BFGSLineSearch:   19[ 31] 04:50:06   -40411.952669*       0.0883
BFGSLineSearch:   20[ 33] 05:06:35   -40411.954351*       0.0918
BFGSLineSearch:   21[ 34] 05:11:58   -40411.955767*       0.1389
BFGSLineSearch:   22[ 36] 05:22:25   -40411.956758*       0.0455
