                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 10:35:25   -40002.428173*       4.1400
BFGSLineSearch:    1[  3] 10:59:39   -40003.017247*       3.8856
BFGSLineSearch:    2[  4] 11:07:45   -40003.547573*       5.3203
BFGSLineSearch:    3[  6] 11:22:27   -40003.694428*       2.1915
BFGSLineSearch:    4[  8] 11:42:22   -40003.836226*       1.6854
BFGSLineSearch:    5[ 10] 12:01:10   -40003.887619*       1.0447
BFGSLineSearch:    6[ 12] 12:16:51   -40003.930060*       0.4950
BFGSLineSearch:    7[ 14] 12:30:28   -40003.943623*       0.4324
BFGSLineSearch:    8[ 16] 12:40:39   -40003.949751*       0.2517
BFGSLineSearch:    9[ 18] 12:52:37   -40003.952392*       0.2231
BFGSLineSearch:   10[ 19] 12:59:56   -40003.958454*       0.2263
BFGSLineSearch:   11[ 21] 13:14:23   -40003.962384*       0.2482
BFGSLineSearch:   12[ 22] 13:21:55   -40003.967457*       0.1888
BFGSLineSearch:   13[ 23] 13:30:04   -40003.973499*       0.2864
BFGSLineSearch:   14[ 25] 13:45:22   -40003.979698*       0.2676
BFGSLineSearch:   15[ 27] 13:59:51   -40003.983511*       0.2619
BFGSLineSearch:   16[ 29] 14:15:21   -40003.987942*       0.1620
BFGSLineSearch:   17[ 30] 14:23:04   -40003.995027*       0.2705
BFGSLineSearch:   18[ 31] 14:32:30   -40004.002571*       0.2148
BFGSLineSearch:   19[ 33] 14:48:56   -40004.007665*       0.2129
BFGSLineSearch:   20[ 34] 14:57:11   -40004.017907*       0.1872
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 15:35:35   -40002.428163*       4.1401
BFGSLineSearch:    1[  2] 15:56:17   -40002.825690*       3.7246
BFGSLineSearch:    2[  3] 16:06:17   -40003.472508*       2.0393
BFGSLineSearch:    3[  4] 16:16:20   -40003.779828*       1.0728
BFGSLineSearch:    4[  5] 16:25:36   -40003.861140*       0.7651
