---------------------
  #    meV     cm^-1
---------------------
  0   17.8i    144.0i
  1   15.2     122.7
  2   18.2     146.8
  3   21.3     172.0
  4   22.1     178.0
  5   25.1     202.0
  6   34.8     280.9
  7   38.2     308.0
  8   44.7     360.6
  9   51.3     413.5
 10   66.5     536.0
 11   71.8     579.0
 12   76.0     613.0
 13   82.9     669.0
 14   84.3     679.8
 15  116.8     942.2
 16  120.6     973.0
 17  157.7    1272.3
 18  167.9    1354.1
 19  181.6    1464.4
 20  193.5    1560.7
 21  196.0    1580.9
 22  371.6    2997.1
 23  418.9    3378.5
 24  428.5    3456.2
 25  459.5    3705.8
 26  472.6    3812.1
---------------------
Zero-point energy: 1.969 eV
