                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:53:35   -40409.662422*       7.1379
BFGSLineSearch:    1[  2] 17:12:28   -40409.979399*       4.1448
BFGSLineSearch:    2[  4] 17:34:55   -40410.316404*       2.4723
BFGSLineSearch:    3[  6] 17:53:13   -40410.488812*       1.9168
BFGSLineSearch:    4[  8] 18:10:24   -40410.537937*       1.0505
BFGSLineSearch:    5[  9] 18:18:34   -40410.673675*       1.0227
BFGSLineSearch:    6[ 11] 18:35:35   -40410.714919*       1.1259
BFGSLineSearch:    7[ 13] 18:53:01   -40410.748161*       0.8320
BFGSLineSearch:    8[ 15] 19:08:06   -40410.781855*       1.0540
BFGSLineSearch:    9[ 17] 19:22:20   -40410.796666*       1.0398
BFGSLineSearch:   10[ 19] 19:35:48   -40410.808382*       0.6478
BFGSLineSearch:   11[ 21] 19:50:09   -40410.818625*       0.3626
BFGSLineSearch:   12[ 22] 19:58:13   -40410.828304*       0.4513
BFGSLineSearch:   13[ 24] 20:12:13   -40410.834315*       0.3787
BFGSLineSearch:   14[ 26] 20:23:57   -40410.838332*       0.3096
BFGSLineSearch:   15[ 27] 20:30:33   -40410.841692*       0.1742
BFGSLineSearch:   16[ 28] 20:38:07   -40410.844699*       0.3756
BFGSLineSearch:   17[ 30] 20:51:47   -40410.847477*       0.3243
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 21:28:54   -40410.847461*       0.3240
BFGSLineSearch:    1[  2] 21:42:01   -40410.849064*       0.1460
BFGSLineSearch:    2[  3] 21:48:35   -40410.852132*       0.1118
BFGSLineSearch:    3[  4] 21:55:55   -40410.854781*       0.0873
BFGSLineSearch:    4[  6] 22:11:13   -40410.856411*       0.1350
BFGSLineSearch:    5[  7] 22:18:49   -40410.858733*       0.1223
BFGSLineSearch:    6[  8] 22:27:02   -40410.861468*       0.1488
BFGSLineSearch:    7[  9] 22:36:06   -40410.864716*       0.2595
BFGSLineSearch:    8[ 10] 22:44:35   -40410.869269*       0.3800
BFGSLineSearch:    9[ 11] 22:52:49   -40410.873033*       0.2290
BFGSLineSearch:   10[ 12] 22:59:49   -40410.876077*       0.1628
BFGSLineSearch:   11[ 14] 23:17:16   -40410.877595*       0.2530
BFGSLineSearch:   12[ 15] 23:25:05   -40410.879439*       0.3351
BFGSLineSearch:   13[ 16] 23:34:22   -40410.882081*       0.1055
BFGSLineSearch:   14[ 18] 23:48:05   -40410.883708*       0.1503
BFGSLineSearch:   15[ 19] 23:54:31   -40410.885763*       0.1222
BFGSLineSearch:   16[ 20] 00:03:13   -40410.888231*       0.2209
BFGSLineSearch:   17[ 21] 00:15:18   -40410.890588*       0.1245
BFGSLineSearch:   18[ 22] 00:23:29   -40410.893947*       0.1662
BFGSLineSearch:   19[ 24] 00:40:03   -40410.895966*       0.1954
BFGSLineSearch:   20[ 26] 00:54:51   -40410.898236*       0.1387
BFGSLineSearch:   21[ 27] 01:02:38   -40410.902033*       0.1679
BFGSLineSearch:   22[ 28] 01:13:35   -40410.907247*       0.2935
BFGSLineSearch:   23[ 29] 01:22:16   -40410.911874*       0.6393
BFGSLineSearch:   24[ 32] 01:51:48   -40410.923920*       0.4274
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:56:16   -40410.923912*       0.4288
BFGSLineSearch:    1[  2] 10:14:46   -40410.929046*       0.5377
BFGSLineSearch:    2[  3] 10:24:38   -40410.932595*       0.1790
BFGSLineSearch:    3[  4] 10:34:15   -40410.940133*       0.3584
BFGSLineSearch:    4[  6] 10:52:59   -40410.948117*       0.5918
BFGSLineSearch:    5[  8] 11:10:44   -40410.952630*       0.5947
BFGSLineSearch:    6[  9] 11:21:12   -40410.967397*       0.5095
BFGSLineSearch:    7[ 10] 11:29:38   -40410.974308*       0.2546
BFGSLineSearch:    8[ 11] 11:38:15   -40410.980098*       0.6225
BFGSLineSearch:    9[ 12] 11:46:51   -40410.986026*       0.2838
BFGSLineSearch:   10[ 14] 12:03:59   -40410.990617*       0.0938
BFGSLineSearch:   11[ 16] 12:21:05   -40410.995440*       0.3845
BFGSLineSearch:   12[ 17] 12:29:57   -40410.998682*       0.2360
BFGSLineSearch:   13[ 18] 12:38:18   -40411.004954*       0.5656
BFGSLineSearch:   14[ 19] 12:45:41   -40411.010516*       0.3614
BFGSLineSearch:   15[ 20] 12:53:10   -40411.012779*       0.5118
BFGSLineSearch:   16[ 21] 13:01:06   -40411.017212*       0.6351
BFGSLineSearch:   17[ 22] 13:09:35   -40411.024954*       0.4004
