                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 17:49:17   -40393.817338*       5.1309
BFGSLineSearch:    1[  2] 18:08:51   -40394.394370*       2.6563
BFGSLineSearch:    2[  4] 18:29:00   -40394.634973*       4.7299
BFGSLineSearch:    3[  6] 18:49:23   -40394.798688*       1.5763
BFGSLineSearch:    4[  8] 19:09:11   -40394.953832*       1.6948
BFGSLineSearch:    5[ 10] 19:31:03   -40395.180669*       1.5330
BFGSLineSearch:    6[ 12] 19:51:17   -40395.270410*       2.2034
BFGSLineSearch:    7[ 14] 20:08:32   -40395.398929*       1.5498
BFGSLineSearch:    8[ 15] 20:17:42   -40395.478255*       2.2723
BFGSLineSearch:    9[ 17] 20:34:55   -40395.511830*       1.6134
BFGSLineSearch:   10[ 19] 20:53:48   -40395.542913*       0.4904
BFGSLineSearch:   11[ 20] 21:01:46   -40395.570789*       0.6933
BFGSLineSearch:   12[ 22] 21:17:38   -40395.597613*       1.0127
BFGSLineSearch:   13[ 23] 21:26:15   -40395.619316*       0.2985
BFGSLineSearch:   14[ 24] 21:34:54   -40395.636214*       0.4748
BFGSLineSearch:   15[ 26] 21:52:36   -40395.650260*       0.6009
BFGSLineSearch:   16[ 28] 22:08:33   -40395.660254*       0.3427
BFGSLineSearch:   17[ 29] 22:17:09   -40395.668874*       0.3401
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 22:50:50   -40393.817340*       5.1308
BFGSLineSearch:    1[  1] 23:00:11   -40394.375702*       6.5230
BFGSLineSearch:    2[  2] 23:10:51   -40395.049598*       2.2611
BFGSLineSearch:    3[  3] 23:21:12   -40395.284556*       5.0661
BFGSLineSearch:    4[  4] 23:32:07   -40395.487125*       2.8435
BFGSLineSearch:    5[  6] 23:56:09   -40395.573614*       1.1181
BFGSLineSearch:    6[  7] 00:06:01   -40395.639692*       0.4522
BFGSLineSearch:    7[  9] 00:22:14   -40395.663760*       0.6221
BFGSLineSearch:    8[ 11] 00:35:19   -40395.673633*       0.2482
BFGSLineSearch:    9[ 12] 00:42:41   -40395.678413*       0.4588
BFGSLineSearch:   10[ 13] 00:51:16   -40395.685523*       0.6588
BFGSLineSearch:   11[ 14] 00:58:41   -40395.691666*       0.2496
BFGSLineSearch:   12[ 15] 01:05:48   -40395.696372*       0.4720
BFGSLineSearch:   13[ 16] 01:13:38   -40395.704451*       0.2775
BFGSLineSearch:   14[ 17] 01:22:45   -40395.711566*       0.2373
BFGSLineSearch:   15[ 18] 01:30:54   -40395.715316*       0.2162
BFGSLineSearch:   16[ 19] 01:39:02   -40395.720155*       0.4684
BFGSLineSearch:   17[ 21] 01:53:09   -40395.722767*       0.0986
BFGSLineSearch:   18[ 22] 02:00:00   -40395.725056*       0.2009
BFGSLineSearch:   19[ 23] 02:07:17   -40395.728477*       0.1401
BFGSLineSearch:   20[ 25] 02:21:46   -40395.730563*       0.1308
BFGSLineSearch:   21[ 26] 02:28:48   -40395.731981*       0.1259
BFGSLineSearch:   22[ 27] 02:35:03   -40395.733011*       0.0764
BFGSLineSearch:   23[ 28] 02:40:57   -40395.734042*       0.1480
BFGSLineSearch:   24[ 31] 03:03:06   -40395.736778*       0.1063
BFGSLineSearch:   25[ 32] 03:09:52   -40395.739649*       0.1067
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 08:49:48   -40393.817329*       5.1306
BFGSLineSearch:    1[  1] 08:59:23   -40394.673327*       3.9549
BFGSLineSearch:    2[  2] 09:09:11   -40394.853895*       3.2686
BFGSLineSearch:    3[  3] 09:18:09   -40395.099108*       2.2459
BFGSLineSearch:    4[  4] 09:27:58   -40395.248578*       4.6509
BFGSLineSearch:    5[  5] 09:36:50   -40395.396740*       3.9899
BFGSLineSearch:    6[  6] 09:46:31   -40395.515194*       1.5966
BFGSLineSearch:    7[  7] 09:54:50   -40395.545891*       1.0466
BFGSLineSearch:    8[  8] 10:03:16   -40395.573568*       0.5664
BFGSLineSearch:    9[  9] 10:11:36   -40395.601822*       0.4735
BFGSLineSearch:   10[ 10] 10:21:16   -40395.635020*       1.0676
BFGSLineSearch:   11[ 11] 10:32:04   -40395.659188*       1.5228
BFGSLineSearch:   12[ 12] 10:44:28   -40395.690085*       0.7787
BFGSLineSearch:   13[ 13] 10:54:29   -40395.707783*       0.6125
BFGSLineSearch:   14[ 14] 11:02:51   -40395.716293*       0.9998
BFGSLineSearch:   15[ 15] 11:10:33   -40395.723953*       0.3067
BFGSLineSearch:   16[ 16] 11:17:50   -40395.729754*       0.5841
BFGSLineSearch:   17[ 18] 11:34:46   -40395.732400*       0.7084
BFGSLineSearch:   18[ 19] 11:42:43   -40395.734035*       0.5423
BFGSLineSearch:   19[ 20] 11:50:32   -40395.737454*       0.2421
