---------------------
  #    meV     cm^-1
---------------------
  0    9.6i     77.5i
  1    2.8      22.8
  2    8.6      69.0
  3   15.5     124.7
  4   17.1     137.8
  5   17.9     144.7
  6   19.1     153.9
  7   26.7     215.3
  8   32.0     257.9
  9   37.4     301.8
 10   39.4     318.0
 11   48.2     388.5
 12  109.2     880.9
 13  113.0     911.4
 14  114.7     924.9
 15  133.1    1073.3
 16  149.2    1203.0
 17  166.5    1342.9
 18  200.6    1618.3
 19  218.9    1765.5
 20  358.6    2892.3
 21  401.9    3241.9
 22  419.7    3385.3
 23  421.1    3396.1
---------------------
Zero-point energy: 1.536 eV
