                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 10:12:14   -40425.496662*       5.0944
BFGSLineSearch:    1[  1] 10:21:18   -40426.389294*       5.0342
BFGSLineSearch:    2[  3] 10:42:26   -40426.664415*       1.9974
BFGSLineSearch:    3[  5] 11:06:07   -40426.837275*       1.0971
BFGSLineSearch:    4[  7] 11:23:05   -40426.902830*       1.1454
BFGSLineSearch:    5[  9] 11:39:39   -40426.946740*       0.6714
BFGSLineSearch:    6[ 11] 11:55:11   -40426.962219*       0.6344
BFGSLineSearch:    7[ 13] 12:14:10   -40426.985242*       0.5519
BFGSLineSearch:    8[ 15] 12:31:10   -40427.013185*       0.5456
BFGSLineSearch:    9[ 16] 12:40:05   -40427.058508*       0.4132
BFGSLineSearch:   10[ 19] 13:12:41   -40427.127113*       1.2585
BFGSLineSearch:   11[ 21] 13:35:07   -40427.171196*       1.3610
BFGSLineSearch:   12[ 23] 14:02:25   -40427.276135*       1.4640
BFGSLineSearch:   13[ 25] 14:28:50   -40427.381683*       0.8458
BFGSLineSearch:   14[ 27] 14:49:32   -40427.460579*       0.7199
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 15:31:55   -40427.460617*       0.7202
BFGSLineSearch:    1[  2] 15:51:26   -40427.491512*       0.4470
BFGSLineSearch:    2[  3] 16:01:49   -40427.548528*       0.6079
BFGSLineSearch:    3[  5] 16:29:06   -40427.612906*       0.6684
BFGSLineSearch:    4[  7] 16:50:57   -40427.645863*       0.3552
BFGSLineSearch:    5[  8] 17:04:23   -40427.688782*       0.2999
BFGSLineSearch:    6[  9] 17:16:10   -40427.724232*       0.4784
BFGSLineSearch:    7[ 10] 17:30:28   -40427.757105*       0.6899
BFGSLineSearch:    8[ 11] 17:39:50   -40427.790887*       1.0324
BFGSLineSearch:    9[ 13] 17:57:27   -40427.824179*       0.4309
BFGSLineSearch:   10[ 14] 18:06:35   -40427.863930*       0.5280
BFGSLineSearch:   11[ 15] 18:15:53   -40427.903330*       0.4058
BFGSLineSearch:   12[ 16] 18:27:53   -40427.929898*       0.6091
BFGSLineSearch:   13[ 18] 18:46:52   -40427.946106*       0.3537
BFGSLineSearch:   14[ 19] 18:56:58   -40427.959890*       0.3481
BFGSLineSearch:   15[ 21] 19:18:04   -40427.971852*       0.3958
BFGSLineSearch:   16[ 22] 19:27:29   -40427.986115*       0.4987
BFGSLineSearch:   17[ 23] 19:38:32   -40427.996684*       0.2752
BFGSLineSearch:   18[ 24] 19:46:22   -40428.005888*       0.2426
BFGSLineSearch:   19[ 25] 19:54:41   -40428.011118*       0.2001
BFGSLineSearch:   20[ 26] 20:03:15   -40428.018838*       0.2135
BFGSLineSearch:   21[ 27] 20:11:44   -40428.025044*       0.2846
BFGSLineSearch:   22[ 28] 20:20:27   -40428.030746*       0.3424
BFGSLineSearch:   23[ 29] 20:31:14   -40428.037747*       0.4883
BFGSLineSearch:   24[ 30] 20:39:16   -40428.048864*       0.1665
BFGSLineSearch:   25[ 32] 20:57:01   -40428.060026*       0.5391
BFGSLineSearch:   26[ 34] 21:17:43   -40428.068672*       0.3597
BFGSLineSearch:   27[ 36] 21:36:00   -40428.076531*       0.3047
BFGSLineSearch:   28[ 37] 21:51:13   -40428.088597*       0.5079
BFGSLineSearch:   29[ 38] 22:04:13   -40428.098860*       0.2408
BFGSLineSearch:   30[ 39] 22:18:44   -40428.112557*       0.4557
BFGSLineSearch:   31[ 40] 22:30:49   -40428.125638*       0.2469
BFGSLineSearch:   32[ 42] 22:51:13   -40428.139934*       0.3376
BFGSLineSearch:   33[ 43] 23:02:47   -40428.154840*       0.2308
BFGSLineSearch:   34[ 45] 23:21:00   -40428.163326*       0.5329
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:24:24   -40428.163407*       0.5303
BFGSLineSearch:    1[  2] 14:37:59   -40428.168346*       0.2338
BFGSLineSearch:    2[  3] 14:46:46   -40428.179214*       0.1762
BFGSLineSearch:    3[  5] 15:11:35   -40428.183143*       0.2498
BFGSLineSearch:    4[  6] 15:19:09   -40428.187213*       0.1981
BFGSLineSearch:    5[  8] 15:34:18   -40428.189176*       0.2030
BFGSLineSearch:    6[ 10] 15:48:40   -40428.197111*       0.1902
BFGSLineSearch:    7[ 11] 16:00:01   -40428.201544*       0.1419
BFGSLineSearch:    8[ 12] 16:09:56   -40428.205799*       0.1569
BFGSLineSearch:    9[ 13] 16:20:14   -40428.208922*       0.1515
BFGSLineSearch:   10[ 14] 16:30:52   -40428.211331*       0.1809
BFGSLineSearch:   11[ 15] 16:38:03   -40428.213394*       0.1873
BFGSLineSearch:   12[ 16] 16:44:55   -40428.215018*       0.1204
BFGSLineSearch:   13[ 17] 16:50:11   -40428.216193*       0.1134
BFGSLineSearch:   14[ 18] 16:56:50   -40428.217554*       0.0841
BFGSLineSearch:   15[ 20] 17:09:07   -40428.218810*       0.0753
BFGSLineSearch:   16[ 23] 17:28:18   -40428.219697*       0.1455
BFGSLineSearch:   17[ 24] 17:35:12   -40428.220547*       0.0893
BFGSLineSearch:   18[ 27] 18:02:08   -40428.221452*       0.1368
BFGSLineSearch:   19[ 30] 18:28:50   -40428.222951*       0.1362
BFGSLineSearch:   20[ 33] 18:51:56   -40428.226270*       0.0992
BFGSLineSearch:   21[ 34] 18:58:26   -40428.228794*       0.2254
BFGSLineSearch:   22[ 37] 19:26:37   -40428.232650*       0.2817
BFGSLineSearch:   23[ 38] 19:35:06   -40428.235264*       0.1489
BFGSLineSearch:   24[ 41] 19:57:49   -40428.238989*       0.3077
BFGSLineSearch:   25[ 42] 20:04:15   -40428.241055*       0.1808
BFGSLineSearch:   26[ 43] 20:10:41   -40428.243628*       0.1693
BFGSLineSearch:   27[ 44] 20:21:02   -40428.246301*       0.1723
BFGSLineSearch:   28[ 45] 20:31:01   -40428.251276*       0.3233
BFGSLineSearch:   29[ 46] 20:38:19   -40428.254636*       0.3989
BFGSLineSearch:   30[ 48] 20:55:42   -40428.258548*       0.5571
BFGSLineSearch:   31[ 49] 21:02:03   -40428.266125*       0.4127
BFGSLineSearch:   32[ 52] 21:27:39   -40428.274946*       0.2087
BFGSLineSearch:   33[ 53] 21:34:18   -40428.280587*       0.3923
BFGSLineSearch:   34[ 54] 21:41:36   -40428.290608*       0.1653
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 22:50:56   -40428.290615*       0.1752
BFGSLineSearch:    1[  2] 23:06:20   -40428.292960*       0.3143
BFGSLineSearch:    2[  3] 23:14:44   -40428.296974*       0.3756
BFGSLineSearch:    3[  6] 23:47:03   -40428.310407*       0.2586
BFGSLineSearch:    4[  7] 23:54:32   -40428.318283*       0.5160
BFGSLineSearch:    5[  8] 00:01:22   -40428.327342*       0.3082
BFGSLineSearch:    6[  9] 00:08:56   -40428.337140*       0.2901
BFGSLineSearch:    7[ 11] 00:28:16   -40428.341583*       0.1996
BFGSLineSearch:    8[ 12] 00:39:59   -40428.347623*       0.2722
BFGSLineSearch:    9[ 13] 00:48:48   -40428.351696*       0.4616
BFGSLineSearch:   10[ 14] 00:57:55   -40428.357887*       0.1493
BFGSLineSearch:   11[ 15] 01:05:28   -40428.363339*       0.1930
BFGSLineSearch:   12[ 17] 01:20:21   -40428.366320*       0.2710
BFGSLineSearch:   13[ 18] 01:27:34   -40428.370225*       0.2422
BFGSLineSearch:   14[ 19] 01:34:14   -40428.375405*       0.5897
BFGSLineSearch:   15[ 20] 01:42:39   -40428.380767*       0.5935
BFGSLineSearch:   16[ 21] 01:48:40   -40428.385540*       0.2249
BFGSLineSearch:   17[ 23] 02:07:36   -40428.390804*       0.1305
BFGSLineSearch:   18[ 24] 02:16:39   -40428.394620*       0.1910
BFGSLineSearch:   19[ 25] 02:24:44   -40428.398066*       0.3591
BFGSLineSearch:   20[ 26] 02:30:40   -40428.402587*       0.2580
BFGSLineSearch:   21[ 27] 02:39:19   -40428.407186*       0.1459
BFGSLineSearch:   22[ 28] 02:49:28   -40428.410942*       0.4554
BFGSLineSearch:   23[ 29] 02:57:56   -40428.414394*       0.2874
