---------------------
  #    meV     cm^-1
---------------------
  0    2.6i     20.9i
  1   10.0      80.5
  2   10.5      84.9
  3   13.5     108.5
  4   18.9     152.7
  5   22.8     184.2
  6   36.6     295.3
  7   37.6     303.0
  8   48.5     391.2
  9   55.4     447.1
 10   68.2     550.3
 11   84.3     679.7
 12  102.3     825.5
 13  114.6     924.5
 14  133.4    1076.0
 15  167.0    1346.8
 16  205.7    1659.3
 17  236.6    1908.5
 18  361.4    2914.7
 19  390.2    3147.3
 20  422.8    3410.4
---------------------
Zero-point energy: 1.270 eV
