---------------------
  #    meV     cm^-1
---------------------
  0    3.7i     30.1i
  1    5.1      41.1
  2    6.0      48.7
  3   15.6     125.6
  4   20.0     161.0
  5   25.3     203.9
  6   25.6     206.5
  7   28.5     229.5
  8   36.2     292.2
  9   47.4     382.0
 10   62.6     504.6
 11   66.3     534.9
 12   73.7     594.5
 13   92.6     746.6
 14  108.5     875.2
 15  135.7    1094.4
 16  143.2    1154.6
 17  179.4    1447.0
 18  193.2    1557.9
 19  196.5    1584.7
 20  372.1    3001.0
 21  392.5    3165.5
 22  459.7    3707.6
 23  473.3    3817.4
---------------------
Zero-point energy: 1.579 eV
