---------------------
  #    meV     cm^-1
---------------------
  0    2.4i     19.5i
  1    6.4      51.5
  2   19.3     155.6
  3   20.5     165.5
  4   22.6     182.4
  5   23.4     188.4
  6   28.3     228.1
  7   33.2     267.5
  8   40.3     324.6
  9   45.5     367.2
 10   66.3     534.5
 11   67.6     545.0
 12   81.1     654.1
 13   85.5     689.9
 14  133.9    1080.4
 15  150.0    1209.7
 16  178.5    1439.7
 17  253.8    2047.1
 18  380.7    3070.9
 19  394.2    3179.3
 20  463.5    3738.0
---------------------
Zero-point energy: 1.247 eV
