---------------------
  #    meV     cm^-1
---------------------
  0   13.3i    107.5i
  1   10.4      83.5
  2   16.4     132.6
  3   19.8     160.0
  4   23.6     190.4
  5   24.4     196.8
  6   39.2     315.9
  7   40.1     323.6
  8   48.6     391.8
  9   58.6     472.4
 10   59.5     479.7
 11   71.0     572.3
 12  131.3    1058.7
 13  145.4    1172.7
 14  181.8    1466.1
 15  194.6    1569.8
 16  209.5    1689.8
 17  357.9    2886.7
 18  366.1    2952.9
 19  462.1    3726.9
 20  476.7    3844.5
---------------------
Zero-point energy: 1.468 eV
