---------------------
  #    meV     cm^-1
---------------------
  0    7.2i     58.2i
  1   11.7      94.3
  2   12.6     101.9
  3   16.9     136.6
  4   20.9     169.0
  5   21.4     172.8
  6   26.7     215.1
  7   31.6     255.2
  8   35.7     287.9
  9   40.7     328.2
 10   55.8     450.0
 11   70.2     566.0
 12  114.0     919.6
 13  122.3     986.2
 14  134.1    1081.4
 15  169.5    1367.2
 16  171.3    1381.9
 17  192.3    1551.3
 18  194.1    1565.3
 19  377.6    3045.3
 20  391.8    3160.5
 21  427.5    3447.7
 22  458.6    3699.1
 23  473.4    3818.0
---------------------
Zero-point energy: 1.785 eV
