---------------------
  #    meV     cm^-1
---------------------
  0    2.6i     20.6i
  1   12.4     100.3
  2   12.8     103.6
  3   22.4     180.9
  4   23.1     186.5
  5   25.5     205.8
  6   33.0     266.4
  7   37.3     300.5
  8   43.2     348.2
  9   67.7     546.0
 10   78.1     629.9
 11   79.2     638.5
 12   79.5     641.0
 13   93.0     749.8
 14  125.3    1010.6
 15  136.1    1098.1
 16  159.4    1285.7
 17  176.4    1423.0
 18  182.5    1471.8
 19  193.7    1562.6
 20  387.5    3125.1
 21  392.8    3167.8
 22  404.3    3260.9
 23  473.4    3818.2
---------------------
Zero-point energy: 1.619 eV
