---------------------
  #    meV     cm^-1
---------------------
  0   31.5i    253.8i
  1    6.2      50.3
  2   12.7     102.2
  3   14.9     120.3
  4   22.6     182.5
  5   24.1     194.4
  6   27.4     220.7
  7   32.2     260.0
  8   32.8     264.2
  9   42.0     339.0
 10   56.6     456.8
 11   58.8     474.5
 12   65.6     529.0
 13   72.2     582.3
 14   83.3     671.5
 15  110.5     891.4
 16  135.6    1093.8
 17  141.2    1138.5
 18  149.0    1201.5
 19  164.1    1323.6
 20  182.8    1474.8
 21  185.9    1499.0
 22  191.8    1546.7
 23  196.1    1581.9
 24  345.5    2786.6
 25  373.7    3014.1
 26  382.0    3080.9
 27  402.1    3243.4
 28  408.2    3292.6
 29  477.7    3853.1
---------------------
Zero-point energy: 2.199 eV
