---------------------
  #    meV     cm^-1
---------------------
  0   49.1i    395.7i
  1    5.3      42.8
  2   10.9      87.9
  3   15.2     122.8
  4   18.4     148.2
  5   22.0     177.4
  6   22.3     179.8
  7   31.9     256.9
  8   34.7     280.2
  9   39.7     320.0
 10   43.8     353.4
 11   47.1     379.5
 12   84.9     685.1
 13  147.5    1189.8
 14  161.4    1301.5
 15  184.1    1484.7
 16  192.8    1554.8
 17  375.0    3024.5
 18  389.9    3144.5
 19  469.0    3782.5
 20  485.3    3914.4
---------------------
Zero-point energy: 1.391 eV
