---------------------
  #    meV     cm^-1
---------------------
  0    5.0i     40.1i
  1    4.6      36.9
  2    6.5      52.6
  3    6.7      54.1
  4   10.7      86.0
  5   13.5     108.5
  6   15.0     120.7
  7   16.6     133.7
  8   18.9     152.6
  9   20.9     168.5
 10   22.6     182.4
 11   23.5     189.7
 12   24.2     195.3
 13   26.7     215.1
 14   40.2     324.2
 15   46.2     372.3
 16   50.6     408.2
 17   53.0     427.7
 18   54.4     438.7
 19   62.4     503.4
 20   77.6     625.5
 21   82.3     664.0
 22  297.0    2395.8
 23  466.8    3765.2
---------------------
Zero-point energy: 0.720 eV
