---------------------
  #    meV     cm^-1
---------------------
  0   10.7i     86.7i
  1   14.0     112.8
  2   16.4     132.5
  3   21.6     174.1
  4   22.0     177.8
  5   24.0     193.2
  6   28.5     230.1
  7   47.2     381.0
  8   56.4     454.8
  9   67.0     540.0
 10   72.4     584.0
 11   74.7     602.1
 12  147.3    1188.1
 13  176.6    1424.5
 14  178.5    1439.6
 15  196.2    1582.5
 16  366.5    2956.1
 17  375.8    3031.2
 18  379.9    3064.2
 19  463.5    3738.5
 20  477.7    3853.0
---------------------
Zero-point energy: 1.603 eV
