---------------------
  #    meV     cm^-1
---------------------
  0    3.8i     30.4i
  1    8.0      64.2
  2   11.4      92.0
  3   16.4     132.5
  4   17.0     136.8
  5   19.4     156.3
  6   23.5     189.3
  7   29.1     234.6
  8   32.7     263.5
  9   36.1     291.5
 10   42.6     343.8
 11   63.1     508.7
 12   73.5     592.6
 13   74.7     602.9
 14  106.2     856.5
 15  127.6    1028.8
 16  138.7    1118.8
 17  169.5    1367.2
 18  179.6    1448.7
 19  180.6    1456.4
 20  196.7    1586.5
 21  198.2    1598.8
 22  367.9    2967.6
 23  377.0    3040.8
 24  382.1    3082.0
 25  459.1    3703.2
 26  473.0    3815.0
---------------------
Zero-point energy: 1.902 eV
