---------------------
  #    meV     cm^-1
---------------------
  0   14.0i    112.8i
  1    6.8      55.0
  2   11.2      90.4
  3   13.1     105.6
  4   15.7     126.9
  5   20.4     164.6
  6   21.6     174.5
  7   22.4     180.9
  8   31.6     255.2
  9   42.1     339.3
 10   45.3     365.0
 11   60.5     488.0
 12   67.6     545.1
 13   69.7     562.5
 14   74.9     604.0
 15  120.6     972.5
 16  135.7    1094.9
 17  144.5    1165.2
 18  160.5    1294.3
 19  177.4    1431.2
 20  179.2    1445.2
 21  181.3    1462.5
 22  184.8    1490.5
 23  195.0    1572.8
 24  360.3    2905.7
 25  373.8    3014.6
 26  380.8    3071.3
 27  414.9    3346.1
 28  460.7    3716.1
 29  474.3    3825.8
---------------------
Zero-point energy: 2.223 eV
