---------------------
  #    meV     cm^-1
---------------------
  0   13.8i    111.5i
  1    3.2i     25.5i
  2    7.2      58.3
  3   10.2      82.0
  4   20.4     164.9
  5   22.0     177.1
  6   23.3     187.9
  7   28.6     230.3
  8   38.9     313.4
  9   40.5     326.8
 10   65.1     525.4
 11   73.2     590.4
 12   76.0     613.2
 13   90.0     725.9
 14  117.2     945.4
 15  134.8    1087.0
 16  143.5    1157.3
 17  173.0    1395.2
 18  179.7    1449.1
 19  181.0    1460.0
 20  181.8    1466.4
 21  188.0    1516.3
 22  367.9    2967.1
 23  377.3    3043.5
 24  383.3    3091.6
 25  397.3    3204.3
 26  474.1    3823.5
---------------------
Zero-point energy: 1.897 eV
