---------------------
  #    meV     cm^-1
---------------------
  0   18.1i    145.7i
  1    1.1i      8.6i
  2    6.0      48.3
  3   15.3     123.0
  4   19.5     157.5
  5   22.5     181.5
  6   24.1     194.2
  7   26.4     212.9
  8   32.6     263.0
  9   41.8     337.2
 10   68.0     548.2
 11   71.8     579.4
 12   73.4     592.0
 13  101.6     819.2
 14  128.2    1033.8
 15  137.4    1108.1
 16  169.8    1369.9
 17  179.0    1443.6
 18  180.3    1454.5
 19  208.9    1684.6
 20  370.3    2986.6
 21  380.3    3067.2
 22  384.8    3103.3
 23  474.9    3830.0
---------------------
Zero-point energy: 1.558 eV
