---------------------
  #    meV     cm^-1
---------------------
  0   10.8i     87.4i
  1    7.0i     56.3i
  2   10.5      85.0
  3   17.2     139.1
  4   19.4     156.2
  5   23.7     191.2
  6   25.0     201.7
  7   39.6     319.2
  8   45.9     370.6
  9   58.6     472.8
 10   60.3     486.0
 11   70.0     564.7
 12  132.3    1067.0
 13  134.7    1086.6
 14  138.4    1116.5
 15  174.7    1408.9
 16  180.7    1457.2
 17  181.3    1462.2
 18  195.8    1578.9
 19  359.3    2898.3
 20  364.8    2942.0
 21  366.3    2954.4
 22  461.9    3725.7
 23  476.1    3840.4
---------------------
Zero-point energy: 1.768 eV
