---------------------
  #    meV     cm^-1
---------------------
  0   22.4i    180.8i
  1    3.0      23.9
  2   10.2      82.0
  3   12.4     100.3
  4   16.1     130.1
  5   19.2     155.0
  6   19.7     159.2
  7   20.6     165.9
  8   23.6     190.1
  9   33.4     269.1
 10   53.6     432.1
 11   63.8     514.2
 12   65.1     525.1
 13  121.9     983.5
 14  124.3    1002.2
 15  128.1    1033.0
 16  149.6    1206.8
 17  164.2    1324.3
 18  177.8    1434.2
 19  183.5    1479.8
 20  185.6    1497.2
 21  193.7    1562.1
 22  200.4    1616.4
 23  368.4    2971.5
 24  379.0    3056.8
 25  385.1    3106.4
 26  421.4    3398.5
 27  432.9    3491.4
 28  463.0    3734.6
 29  477.4    3850.1
---------------------
Zero-point energy: 2.448 eV
