---------------------
  #    meV     cm^-1
---------------------
  0    6.3i     51.0i
  1    6.4      51.4
  2    7.5      60.4
  3    9.2      74.0
  4   13.1     105.4
  5   16.0     129.4
  6   17.3     139.5
  7   21.2     171.2
  8   26.6     214.3
  9   34.7     280.2
 10   41.3     332.9
 11   50.2     404.7
 12   52.4     422.5
 13   69.5     560.8
 14  100.1     807.4
 15  102.2     824.6
 16  116.4     939.1
 17  130.6    1053.1
 18  139.8    1127.7
 19  144.2    1163.4
 20  154.1    1242.9
 21  165.4    1334.0
 22  177.6    1432.3
 23  181.5    1463.7
 24  183.6    1481.1
 25  186.4    1503.7
 26  198.6    1601.7
 27  202.8    1635.6
 28  362.3    2922.1
 29  375.9    3032.0
 30  382.4    3084.4
 31  409.1    3299.5
 32  415.9    3354.6
 33  421.4    3398.7
 34  425.3    3430.0
 35  475.1    3831.7
---------------------
Zero-point energy: 2.908 eV
