---------------------
  #    meV     cm^-1
---------------------
  0   14.5i    116.6i
  1    0.6i      4.8i
  2    7.3      59.0
  3   12.9     104.1
  4   16.4     132.6
  5   18.5     149.4
  6   22.6     182.3
  7   25.0     201.4
  8   30.2     244.0
  9   42.0     338.6
 10   51.0     411.3
 11   66.1     533.0
 12   69.7     562.2
 13   73.4     591.8
 14   99.2     800.2
 15  113.8     917.9
 16  132.3    1067.4
 17  139.7    1126.7
 18  144.8    1167.7
 19  152.0    1225.8
 20  165.0    1331.0
 21  178.6    1440.8
 22  181.6    1464.3
 23  183.5    1480.2
 24  187.5    1512.1
 25  199.2    1606.3
 26  354.8    2862.1
 27  376.4    3035.8
 28  385.3    3107.8
 29  406.6    3279.3
 30  419.6    3384.6
 31  422.2    3405.1
 32  475.4    3834.5
---------------------
Zero-point energy: 2.576 eV
