---------------------
  #    meV     cm^-1
---------------------
  0    8.8i     71.3i
  1    6.9i     55.8i
  2    5.2      41.9
  3    6.7      54.4
  4    6.9      55.5
  5    7.8      62.5
  6   11.5      93.1
  7   14.8     119.2
  8   18.4     148.5
  9   19.6     157.8
 10   23.0     185.2
 11   32.3     260.7
 12   38.5     310.6
 13   40.8     329.3
 14   49.6     400.0
 15   71.1     573.7
 16   74.5     600.5
 17  117.5     947.8
 18  127.0    1024.6
 19  131.3    1059.2
 20  143.0    1153.5
 21  165.2    1332.1
 22  172.4    1390.6
 23  179.9    1451.1
 24  204.9    1653.0
 25  205.3    1656.0
 26  352.8    2845.5
 27  356.1    2872.2
 28  368.0    2967.8
 29  424.4    3422.7
 30  440.0    3549.1
 31  440.6    3553.3
 32  469.3    3785.1
---------------------
Zero-point energy: 2.359 eV
